"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"GRANDISON CATERING LTD","9722971","Active","Private limited company","","","","56102","Sapphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","56","2015","8","8","","","","52.48544128571429","-1.9140940000000002",
"KUKU GENERAL TRADING LTD","9723076","Active","Private limited company","","","","80100 96090","27 Crosby Close Birmingham B1 2QB","B1 2QB","80 96","2015","8","8","","","","52.48280866666667","-1.9207164444444444",
"DR A BHAM LIMITED","9728163","Active","Private limited company","","","","86210","Alexander House 60 - 61 Tenby Street North Birmingham B1 3EG","B1 3EG","86","2015","8","11","","","","52.486492428571424","-1.9136612857142856",
"KANUPRIYA OPTHALMOLOGY LIMITED","9733290","Active","Private limited company","","","","86210","Alexander House 60-61 Tenby Street North Birmingham B1 3EG","B1 3EG","86","2015","8","14","","","","52.486492428571424","-1.9136612857142856",
"UK IMMIGRATION HUB LTD","9756573","Active","Private limited company","","","","70229","15a 57 Frederick Street Birmingham B1 3HS","B1 3HS","70","2015","9","1","","","","52.4850144117647","-1.9121324117647063",
"REDDY MEDICAL SERVICES LIMITED","9791230","Active","Private limited company","","","","86210","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","86","2015","9","23","","","","52.48520935714286","-1.910360785714286",
"WALLZ & QUEEN UK LIMITED","9509575","Active","Private limited company","","","","62020","1 Izabella House 24-26 Regent Place City Centre Birmingham B1 3NJ","B1 3NJ","62","2015","3","25","","","","52.48616493333334","-1.9100368",
"NMPDNI LTD","9627697","Active","Private limited company","","","","56101","First Floor  86 Holloway Head Birmingham B1 1NB","B1 1NB","56","2015","6","8","","","","52.473471","-1.903633",
"T & E READEVELOPMENTS LIMITED","9960660","Active","Private limited company","","","","41100","9 - 11 Vittoria Street Birmingham B1 3ND","B1 3ND","41","2016","1","20","","","","52.48520935714286","-1.910360785714286",
"NATIONAL BUSINESS REGISTER GROUP LIMITED","9416106","Active","Private limited company","","","","82110","Ground Floor 3 Sovereign Court Graham Street Birmingham B1 3JR","B1 3JR","82","2015","2","2","","","","52.484486000000004","-1.911102125",
"MIDSHIRE INVESTMENTS LIMITED","9842567","Active","Private limited company","","","","68100","51 Vittoria Street Birmingham B1 3NU","B1 3NU","68","2015","10","26","","","","52.48592714285714","-1.9107901428571428",
"PRIME CLAIMS SOLUTIONS LIMITED","9855528","Active","Private limited company","","","","66210","Ground Floor 33 Tenby Street Birmingham B1 3EE","B1 3EE","66","2015","11","4","","","","52.48569583333333","-1.9136008333333334",
"1000 TRADES LTD","9848187","Active","Private limited company","","","","56302","16 Frederick Street Birmingham B1 3HE","B1 3HE","56","2015","10","29","","","","52.48518320000001","-1.9114054",
"NTERPRISE LIMITED","9847810","Active","Private limited company","","","","62020","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","62","2015","10","29","","","","52.4770443076923","-1.9080292307692308",
"INTERCITY NETWORKS LIMITED","2111867","Active","Private limited company","","","","61900","101-114 Holloway Head Birmingham West Midlands B1 1QP","B1 1QP","61","1987","3","18","","","","52.473725200000004","-1.903985",
"XMBRACE LIMITED","4086130","Active","Private limited company","","","","74990","The Mailbox Level 3 101 Wharfside Street Birmingham B1 1RF","B1 1RF","74","2000","10","9","","","","52.475549","-1.905646",
"COMPLETE MORTGAGE SOLUTIONS UK LIMITED","4092285","Active","Private limited company","","","","66220","67 The Qube 14 Scotland Street Birmingham B1 2EJ","B1 2EJ","66","2000","10","18","","","","52.481303749999995","-1.9119915",
"PC PROPERTIES LIMITED","4262257","Active","Private limited company","","","","68100","87 Carver Street Birmingham B1 3AL","B1 3AL","68","2001","7","31","","","","52.486859","-1.916763",
"WEB SPIDERS LIMITED","4268772","Active","Private limited company","","","","62090","C/O Feltons (Bham) Limited 8 Sovereign Court 8 Graham Street Birmingham B1 3JR","B1 3JR","62","2001","8","10","","","","52.48450342222223","-1.9099816444444448",
"NOBLEFIELD LIMITED","4329527","Active","Private limited company","","","","87100","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","87","2001","11","27","","","","52.48211","-1.915795",
"ALBION SQUARE COMMERCIAL MANAGEMENT LIMITED","4930533","Active","Private limited company","","","","68320","York Laurent 12 Frederick Street Birmingham B1 3HE","B1 3HE","68","2003","10","13","","","","52.48518320000001","-1.9114054",
"INTERCITY MANAGED SERVICES LIMITED","5180119","Active","Private limited company","","","","62011 62020 62090 82990","101-104 Holloway Head Birmingham B1 1QP","B1 1QP","62   82","2004","7","14","","","","52.473725200000004","-1.903985",
"CALCO 101 LIMITED","5214395","Active","Private limited company","","","","68100","George Nott House 3rd Floor 119 Holloway Head Birmingham B1 1QP","B1 1QP","68","2004","8","25","","","","52.473734","-1.9044521666666665",
"TENSARC LIMITED","4478715","Active","Private limited company","","","","71129","3 Sovereign Court Graham Street Birmingham B1 3JR","B1 3JR","71","2002","7","5","","","","52.48450019999999","-1.9107869999999998",
"GOVERNANCE INTERNATIONAL","4488214","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","70229 72200 85590","1 Ground Floor Victoria Square Birmingham B1 1BD","B1 1BD","70 72 85","2002","7","17","","","","52.478892","-1.902826",
"STIRLING BUSINESS SOLUTIONS LIMITED","4510010","Active","Private limited company","","","","70229","One Victoria Square Birmingham B1 1BD","B1 1BD","70","2002","8","13","","","","52.478892","-1.902826",
"THE LEARNING MAP LTD","4569726","Active","Private limited company","","","","62020","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","62","2002","10","22","","","","52.4770443076923","-1.9080292307692308",
"TREE TOPS HOMES LIMITED","4973120","Active","Private limited company","","","","41100 41202","352 Canal Wharf 14 Waterfront Walk Birmingham B1 1SR","B1 1SR","41 ","2003","11","21","","","","52.475677","-1.907515",
"DHBA LIMITED","5234712","Active","Private limited company","","","","69201","Alexander House 60 - 61 Tenby Street North Birmingham B1 3EG","B1 3EG","69","2004","9","17","","","","52.486492428571424","-1.9136612857142856",
"OUTLAWZ MEDIA LIMITED","5251205","Active","Private limited company","","","","62012","Start.Biz 3 Sovereign Court Graham Street Birmingham B1 3JR","B1 3JR","62","2004","10","5","","","","52.48450019999999","-1.9107869999999998",
"CHANDLER COMMUNICATIONS LIMITED","4584705","Active","Private limited company","","","","61900","101-114 Holloway Head Birmingham B1 1QP","B1 1QP","61","2002","11","7","","","","52.473725200000004","-1.903985",
"DOWNEY DESIGNS LIMITED","4613361","Active","Private limited company","","","","32120","109 The Argent Centre 60 Frederick Street Jewellery Quarter Birmingham B1 3HS","B1 3HS","32","2002","12","10","","","","52.484604","-1.911609",
"J A BROADFIELD (2012) LIMITED","7988820","Active","Private limited company","","","","29320","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","29","2012","3","13","","","","52.48520935714286","-1.910360785714286",
"GK SEVEN LIMITED","8067780","Active","Private limited company","","","","46160","288 Centenary Plaza 18 Holliday Street Birmingham B1 1TS","B1 1TS","46","2012","5","14","","","","52.476867","-1.906208",
"GLOBELY LTD","8374915","Active","Private limited company","","","","46390 47110","11 Brindley Place Brunswick Square Birmingham B1 2LP","B1 2LP","46 47","2013","1","25","","","","52.476727","-1.914361",
"DH BASHIR ASSOCIATES LIMITED","8236318","Active","Private limited company","","","","99999","Alexander House 60 - 61 Tenby Street North Birmingham B1 3EG","B1 3EG","99","2012","10","2","","","","52.486492428571424","-1.9136612857142856",
"MY FABRIC HOUSE LIMITED","8265017","Active","Private limited company","","","","47190","Suite F10 5th Floor Scala House 36 Queensway Birmingham B1 1EQ","B1 1EQ","47","2012","10","23","","","","52.47470131249999","-1.899792375",
"L'HORIZON INVESTMENTS LIMITED","8280924","Active","Private limited company","","","","64999","Feltons 8 Sovereign Court 8 Graham Street Birmingham B1 3JR","B1 3JR","64","2012","11","5","","","","52.48450019999999","-1.9107869999999998",
"THE CBSO PENSION TRUSTEE LIMITED","8497867","Active","Private limited company","","","","65300","Cbso Centre Berkley Street Birmingham B1 2LF","B1 2LF","65","2013","4","22","","","","52.475575000000006","-1.909458",
"W.K. WONG & SONS (BRISTOL) LIMITED","2522867","Active","Private limited company","","","","56103","Unit 5 Floor 5 Scala House Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","1990","7","17","","","","52.47464754545455","-1.899698",
"BUSINESS SYSTEMS GROUP HOLDINGS LIMITED","2923809","Active","Private limited company","","","","74990","The Mailbox Level 3 101 Wharfside Street Birmingham B1 1RF","B1 1RF","74","1994","4","28","","","","52.475549","-1.905646",
"GLENSON LIMITED","3171237","Active","Private limited company","","","","99999","Summer Hill Works Powell Street Birmingham B1 3DH","B1 3DH","99","1996","3","12","","","","52.4835608","-1.9159064666666665",
"SAMCO SILICONE PRODUCTS LIMITED","2307356","Active","Private limited company","","","","99999","Summer Hill Works Powell Street Birmingham B1 3DH","B1 3DH","99","1988","10","20","","","","52.4835608","-1.9159064666666665",
"THE PHARMACY INSURANCE AGENCY LIMITED","2591975","Active","Private limited company","","","","65120","1 The Old Fire Station 69 Albion Street Birmingham B1 3EA","B1 3EA","65","1991","3","15","","","","52.48473585714286","-1.9137681428571427",
"GRAYTON ENGINEERING LIMITED","2730358","Active","Private limited company","","","","33190 33200 43999 71129","Deloitte Llp Four Brindley Place Birmingham B1 2HZ","B1 2HZ","33  43 71","1992","7","10","","","","52.478518","-1.914169",
"ADVANCED CHORUS APPLICATION SOFTWARE LIMITED","3838526","Active","Private limited company","","","","74990","The Mailbox Level 3 101 Wharfside Street Birmingham B1 1RF","B1 1RF","74","1999","9","9","","","","52.475549","-1.905646",
"ATOM JEWELLERY LIMITED","2056440","Active","Private limited company","","","","32130","37-42 Tenby Street Birmingham B1 3EF","B1 3EF","32","1986","9","19","","","","52.48531033333333","-1.9133292222222222",
"C-TALISMAN LTD.","3761718","Active","Private limited company","","","","64991 68209","2nd Floor Cathay Building Holloway Head Birmingham B1 1NB","B1 1NB","64 68","1999","4","28","","","","52.473471","-1.903633",
"TRAVELPERK UK IRL LIMITED","3770815","Active","Private limited company","","","","62012 70229 79110","Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","62 70 79","1999","5","14","","","","52.47851563636364","-1.9062289090909095",
"MERMAID STUDIOS INTERACTIVE LIMITED","4051440","Active","Private limited company","","","","62011","3 Sovereign Court C/O National Business Register Group Ltd 3 Sovereign Court Ground Floor Birmingham B1 3JR","B1 3JR","62","2000","8","8","","","","52.48450342222223","-1.9099816444444448",
"JONES AND PALMER HOLDINGS LIMITED","196211","Active","Private limited company","","","","70100","87 Carver Street Birmingham B1 3AL","B1 3AL","70","1924","3","6","","","","52.486859","-1.916763",
"MIDLAND BANK (BRANCH NOMINEES) LIMITED","239325","Active","Private limited company","","","","99999","1 Centenary Square Birmingham B1 1HQ","B1 1HQ","99","1929","5","6","","","","52.47859091666667","-1.9070163333333332",
"CHARLES GREEN & SON LIMITED","455784","Active","Private limited company","","","","32120","37 Tenby Street Birmingham B1 3EF","B1 3EF","32","1948","6","21","","","","52.48531033333333","-1.9133292222222222",
"00755600 LIMITED","755600","Active","Private limited company","","",""," ","1 Victoria Square Birmingham B1 1BD","B1 1BD","","1963","3","29","","","","52.478892","-1.902826",
"OOZELLS TRADING LIMITED","3095021","Active","Private limited company","","","","90040","1 Oozells Square Brimingham West Midlands B1 2HS","B1 2HS","90","1995","8","24","","","","52.47768672727272","-1.912448090909091",
"ABUSSI LIMITED","3093760","Active","Private limited company","","","","62090","1 Victoria Square Birmingham B1 1BD","B1 1BD","62","1995","8","22","","","","52.478892","-1.902826",
"CONTEMPORARY CONTROLS LTD","3196119","Active","Private limited company","","","","62020 62090","Eleven Brindleyplace 2 Brunswick Square Birmingham B1 2LP","B1 2LP","62 ","1996","5","9","","","","52.476727","-1.914361",
"BUCKLEMOUNT LIMITED","3251306","Active","Private limited company","","","","96090","The Old Fire Station Childrens Nursery 69  Albion Street Birmingham B1 3EA","B1 3EA","96","1996","9","18","","","","52.48473585714286","-1.9137681428571427",
"V.N. & BRITANNIC WAREHOUSES LIMITED","1002902","Active","Private limited company","","","","47910","142 Sand Pits Birmingham B1 3RJ","B1 3RJ","47","1971","2","19","","","","52.48208642857143","-1.9144508571428571",
"THE EMISSARIES LIMITED","1353661","Active","Private limited by guarantee without share capital","","","","94910","Eleven Brindleyplace C/O Friend Partnership Limited Eleven Brindleyplace Birmingham B1 2LP","B1 2LP","94","1978","2","17","","","","52.47667346666666","-1.9137406000000001",
"THE MILLENNIUM APARTMENTS MANAGEMENT COMPANY LIMITED","3608352","Active","Private limited company","","","","98000","C/O York Laurent 12 Frederick Street Birmingham B1 3HE","B1 3HE","98","1998","7","28","","","","52.48518320000001","-1.9114054",
"ENIGMA CONSULTING AND SOLUTIONS LIMITED","10305177","Active","Private limited company","","","","82990","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","82","2016","8","1","","","","52.4770443076923","-1.9080292307692308",
"DIGITAL 2407 LIMITED","10320117","Active","Private limited company","","","","73110 73120","C/O Vaghela & Co Studio 10, Clark's Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","73 ","2016","8","9","","","","52.4742084047619","-1.9082864761904754",
"GALAXY GALLEY LIMITED","10354257","Active","Private limited company","","","","56103","Suite F10 5th Floor, Scala House 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2016","9","1","","","","52.47464754545455","-1.899698",
"BELFAST CITY FITNESS LTD","10382275","Active","Private limited company","","","","82990","Unit 12 The Wharf 16 Bridge Street Birmingham B1 2JS","B1 2JS","82","2016","9","19","","","","52.4770443076923","-1.9080292307692308",
"SWIFT MOTOR GLOBAL LTD","10385836","Active","Private limited company","","","","45112","40 Upper Gough Street Birmingham B1 1JL","B1 1JL","45","2016","9","20","","","","52.474169","-1.904984",
"SEA PEARL GLORY LIMITED","10396650","Active","Private limited company","","","","82110","F10 5th Floor, Scala House 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","82","2016","9","27","","","","52.47464754545455","-1.899698",
"E - GARDENS LIMITED","10410956","Active","Private limited company","","","","82990","Alexander House 60-61 Tenby Street North Birmingham B1 3EG","B1 3EG","82","2016","10","5","","","","52.486492428571424","-1.9136612857142856",
"K BEST WOK LIMITED","10449665","Active","Private limited company","","","","56103","Suite 10 5th Flr Scala Hse 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2016","10","27","","","","52.47464754545455","-1.899698",
"BLACK MOUNTAIN BIKES LIMITED","10623580","Active","Private limited company","","","","99999","Summer Hill Works Powell Street Birmingham B1 3DH","B1 3DH","99","2017","2","16","","","","52.4835608","-1.9159064666666665",
"EPOK BIKES LIMITED","10630509","Active","Private limited company","","","","99999","Summer Hill Works Powell Street Birmingham B1 3DH","B1 3DH","99","2017","2","21","","","","52.4835608","-1.9159064666666665",
"FRAICORE LTD","10447459","Active","Private limited company","","","","70229","12 The Wharf 16 Bridge Street Birmingham B1 2JS","B1 2JS","70","2016","10","26","","","","52.4770443076923","-1.9080292307692308",
"KINGSHINE CONSULTANCY LIMITED","8775269","Active","Private limited company","","","","82990","Apartment 2706 Beetham Tower 10 Holloway Circus Queensway Birmingham B1 1BY","B1 1BY","82","2013","11","14","","","","52.475397","-1.900438",
"ACTIVE MANAGEMENT SOLUTIONS (4) LIMITED","8783696","Active","Private limited company","","","","52103","Apartment 13 Queens College Chambers 38 Paradise Street Birmingham B1 2AF","B1 2AF","52","2013","11","20","","","","52.47873846666667","-1.903618466666667",
"NEON ARENA SERVICES LIMITED","8662350","Active","Private limited company","","","","90020 93199","Unit 305 The Argent Centre 60 Frederick Street Birmingham B1 3HS","B1 3HS","90 93","2013","8","23","","","","52.484604","-1.911609",
"FAST FWD MULTIMEDIA LTD","7172996","Active","Private limited company","","","","62020","Suite 3 Falcon Works House 40 Regent Place Birmingham B1 3NN","B1 3NN","62","2010","3","1","","","","52.48621985714286","-1.9092212857142858",
"AN CHOICE LIMITED","8722251","Active","Private limited company","","","","56101","Lonsdale House 52 Blucher Street Birmingham B1 1QU","B1 1QU","56","2013","10","7","","","","52.47479288888889","-1.9034657777777777",
"SATORI VISION LTD","7289734","Active","Private limited company","","","","70229","Unit 1 Bridge Street Birmingham B1 2JS","B1 2JS","70","2010","6","21","","","","52.4770443076923","-1.9080292307692308",
"NELSPRUIT COMMUNICATIONS LIMITED","7319031","Active","Private limited company","","","","82990","1 Victoria Square Birmingham B1 1BD","B1 1BD","82","2010","7","19","","","","52.478892","-1.902826",
"HYDROE SERVICES LIMITED","7340394","Active","Private limited company","","","","33170","Saphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","33","2010","8","9","","","","52.48544128571429","-1.9140940000000002",
"D.D.S. (NORTH EAST) LIMITED","8181148","Active","Private limited company","","","","63990","102 Carver Street Birmingham B1 3AP","B1 3AP","63","2012","8","15","","","","52.485017400000004","-1.9144932000000001",
"PFDS (B'HAM) LTD","8195940","Active","Private limited company","","","","46320","51 Vittoria Street Birmingham B1 3NU","B1 3NU","46","2012","8","30","","","","52.48592714285714","-1.9107901428571428",
"BAGLEYS ROAD RTM COMPANY LIMITED","7832111","Active","Private limited by guarantee without share capital","","","","98000","Sapphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","98","2011","11","2","","","","52.48544128571429","-1.9140940000000002",
"AVRAN LIMITED","7746813","Active","Private limited company","","","","61100","3 Wharfside Street Spaces The Mailbox Level 1 Birmingham B1 1RD","B1 1RD","61","2011","8","19","","","","52.476849","-1.903694",
"OWNED IT LTD","7755519","Active","Private limited company","","","","63990","11 Brindley Place Brunswick Square Birmingham B1 2LP","B1 2LP","63","2011","8","30","","","","52.476727","-1.914361",
"SF RECRUITMENT LIMITED","8163422","Active","Private limited company","","","","78109 78200 78300","22 Gas Street Birmingham B1 2JT","B1 2JT","78  ","2012","7","31","","","","52.476907","-1.909526",
"JAMES SADLER & SONS LIMITED","75463","Active","Private limited company","","","","2625","Four Brindleyplace Birmingham B1 2HZ","B1 2HZ","26","1902","11","18","","","","52.478518","-1.914169",
"JONES AND PALMER LIMITED","239324","Active","Private limited company","","","","18129 18130","87 Carver Street Birmingham B1 3AL","B1 3AL","18 ","1929","5","6","","","","52.486859","-1.916763",
"DIXI AND ASSOCIATES (MACHINE TOOLS) LIMITED","790672","Active","Private limited company","","","","9305","Four Brindleyplace Birmingham B1 2HZ","B1 2HZ","93","1964","2","5","","","","52.478518","-1.914169",
"MA LAWYERS LIMITED","10194050","Active","Private limited company","","","","69102","First House/1 Sutton Street Birmingham B1 1PE","B1 1PE","69","2016","5","23","","","","52.47259833333333","-1.9037765555555555",
"HULL CONSULTING LTD","10241800","Active","Private limited company","","","","70221","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","70","2016","6","21","","","","52.4770443076923","-1.9080292307692308",
"MOBILE GAMING INVESTMENT LTD","10219200","Active","Private limited company","","","","62011","Alpha Works Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","62","2016","6","7","","","","52.47851563636364","-1.9062289090909095",
"K TAKEAWAY LTD","10240662","Active","Private limited company","","","","56103","Suite F10 5th Floor Scala House 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2016","6","20","","","","52.47464754545455","-1.899698",
"THE HOOK AND EYE CLOTHING COMPANY LIMITED","10180775","Active","Private limited company","","","","74100","Unit 14 Frederick Street Birmingham B1 3HS","B1 3HS","74","2016","5","16","","","","52.4850144117647","-1.9121324117647063",
"WISE SOCIAL ENTERPRISE LIMITED","10019718","Active","Private limited by guarantee without share capital","","","","84110","1 Victoria Square (C/O Regus) Birmingham B1 1BD","B1 1BD","84","2016","2","22","","","","52.478892","-1.902826",
"JAMJAR LIGHTS LIMITED","10392611","Active","Private limited company","","","","27400","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","27","2016","9","23","","","","52.48520935714286","-1.910360785714286",
"LC EDUCATION & TRAINING LTD","9733188","Active","Private limited company","","","","85600","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","85","2015","8","14","","","","52.48211","-1.915795",
"GARCHAI LTD","12760625","Active","Private limited company","","","","56102","38 Carver Street Birmingham B1 3AS","B1 3AS","56","2020","7","22","","","","52.48583566666667","-1.916100555555556",
"HILTON LEVI GOLD LTD","12763436","Active","Private limited company","","","","46720","Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","46","2020","7","23","","","","52.47404376923077","-1.9075247692307695",
"DMCO LTD","12771122","Active","Private limited company","","","","62020 63990 73110 85590","Apartment 211 Granville Lofts 190 Holliday Street Birmingham B1 1FD","B1 1FD","62 63 73 85","2020","7","27","","","","52.474756","-1.909631",
"HOUGHTON SPRING LIMITED","12063825","Active","Private limited company","","","","56103","C/O Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","56","2019","6","21","","","","52.47404376923077","-1.9075247692307695",
"WM CHINESE LIMITED","12065119","Active","Private limited company","","","","56101","Suite 3 4th Floor, Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","56","2019","6","24","","","","52.47630830000001","-1.9026450999999998",
