"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"KOA LOCKSMITH & BOARDING UP SERVICES LTD","10043304","Active","Private limited company","","","","43999","28 Red Leasowes Road Halesowen B63 4SF","B63 4SF","43","2016","3","4","","","","52.4451664","-2.0595051",
"KEYS BIDCO LIMITED","10629989","Active","Private limited company","","","","64209","Maybrook House Second Floor Queensway Halesowen B63 4AH","B63 4AH","64","2017","2","21","","","","52.4493","-2.05297",
"MUNSTER CONSTRUCTION SERVICES LIMITED","13226340","Active","Private limited company","","","","43999","C/O Blythe Phillips 8/9 Earls Way Halesowen B63 3HR","B63 3HR","43","2021","2","25","","","","52.4517245","-2.0510722",
"J.T. RENTALS LIMITED","1460968","Active","Private limited company","","","","68209 68320","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","68 ","1979","11","13","","","","52.45096","-2.05285",
"MLA LIFTS LTD","13242662","Active","Private limited company","","","","43290","1 Century Way Halesowen B63 2TQ","B63 2TQ","43","2021","3","3","","","","52.4627917","-2.0756403",
"AH PLANT LLP","OC355174","Active","Limited liability partnership","","",""," ","Carolyn House 5 Dudley Road Halesowen B63 3LS","B63 3LS","","2010","5","24","","","","52.45474","-2.0467833",
"THE ADMIRABLE MR BAKER COMPANY LIMITED","11214969","Active","Private limited company","","","","64304","31 Fairfield Road Halesowen B63 4PT","B63 4PT","64","2018","2","20","","","","52.4436371","-2.053761",
"HALESOWEN TOWN FOOTBALL CLUB 1873 LIMITED","7012137","Active","Private limited company","","","","93110","The Grove Old Hawne Lane Halesowen B63 3TB","B63 3TB","93","2009","9","8","","","","52.45391463157894","-2.057689368421053",
"KAPADIA TECHNOLOGIES UK LTD","13348146","Active","Private limited company","","","","74990","8 Saddlers Close Halesowen B63 2DG","B63 2DG","74","2021","4","21","","","","52.4579603","-2.0903893",
"MEADOW WALK MANAGEMENT LIMITED","7274632","Active","Private limited company","","","","68209","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","68","2010","6","7","","","","52.45096","-2.05285",
"COACHED BY BROOKE LTD","13450733","Active","Private limited company","","","","93199","C/O Blythe Phillips 8/9 Earls Way Halesowen B63 3HR","B63 3HR","93","2021","6","10","","","","52.4517245","-2.0510722",
"THE CYBER SECURITY EXPERT LIMITED","8208046","Active","Private limited company","","","","62020","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","62","2012","9","10","","","","52.45096","-2.05285",
"RDJ STEELWORK SOLUTIONS LTD","12304469","Active","Private limited company","","","","42990","Hamiltons 6 Great Cornbow Halesowen Halesowen B63 3AB","B63 3AB","42","2019","11","8","","","","52.4479006","-2.0480719",
"REVIVAL TRAILERS LIMITED","8222722","Active","Private limited company","","","","29203","Unit D1a Cradley Enterprise Centre Maypole Fields Cradley B63 2QB","B63 2QB","29","2012","9","20","","","","52.46759393333333","-2.099379266666667",
"ARKID DEVELOPMENTS LTD","9497874","Active","Private limited company","","","","43390","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","43","2015","3","19","","","","52.45096","-2.05285",
"DUNSTALL PARK (TAMWORTH) RESIDENTS MANAGEMENT COMPANY LIMITED","12116819","Active","Private limited by guarantee without share capital","","","","98000","Barratt West Midlands 60 Whitehall Road Halesowen B63 3JS","B63 3JS","98","2019","7","23","","","","52.4525284","-2.0464291",
"ACCESS IN DUDLEY","6173542","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","88990","Ground Floor Helen House Halesowen B63 3AB","B63 3AB","88","2007","3","20","","","","52.4478","-2.04819",
"HALESOWEN SELF DRIVE LIMITED","13305264","Active","Private limited company","","","","77110","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","77","2021","3","31","","","","52.449773","-2.049054",
"N D B ENGINEERING LIMITED","3548331","Active","Private limited company","","","","25620","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","25","1998","4","17","","","","52.45096","-2.05285",
"FREIGHT SECURITY SERVICES LIMITED","9104161","Active","Private limited company","","","","80200","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","80","2014","6","26","","","","52.45096","-2.05285",
"HALESOWEN CRICKET CLUB LIMITED","8936381","Active","Private limited company","","","","93120","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","93","2014","3","12","","","","52.449773","-2.049054",
"ACTION SPORTS TIMING LTD","9986679","Active","Private limited company","","","","74909","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","74","2016","2","4","","","","52.45096","-2.05285",
"TRANSVERSAL SHEET METAL CO. LIMITED","1209583","Active","Private limited company","","","","25110","Foundry House Maypole Fields Halesowen B63 2QB","B63 2QB","25","1975","4","25","","","","52.46779445454545","-2.099753818181818",
"GCA CONSULTING LTD.","2635332","Active","Private limited company","","","","68201 70229","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","68 70","1991","8","6","","","","52.45096","-2.05285",
"OLD HALESONIANS RFC LTD","9284888","Active","Private limited by guarantee without share capital","","","","93199","5 Dudley Road Halesowen B63 3LS","B63 3LS","93","2014","10","28","","","","52.45474","-2.0467833",
"ACME PROFESSIONALS LIMITED","10809415","Active","Private limited company","","","","85410 85422 85590 85600","Cradley Enterprise Centre Maypole Fields Halesowen B63 2QB","B63 2QB","85   ","2017","6","8","","","","52.467104600000006","-2.0995283999999996",
"LIFESTYLE ENVIRONMENTAL LTD","8689964","Active","Private limited company","","","","43999","Unit A16a Maypole Fields Cradley Halesowen B63 2QB","B63 2QB","43","2013","9","13","","","","52.467104600000006","-2.0995283999999996",
"BAM BOOTHS LTD","7678158","Active","Private limited company","","","","74209","Unit 9 Maypole Fields Halesowen B63 2QB","B63 2QB","74","2011","6","22","","","","52.467104600000006","-2.0995283999999996",
"TRUDUCT PRODUCTS LIMITED","1223317","Active","Private limited company","","","","46900","Foundry House Maypole Fields Halesowen B63 2QB","B63 2QB","46","1975","8","18","","","","52.46779445454545","-2.099753818181818",
"MELIMATIC LIMITED","1641114","Active","Private limited company","","","","25990","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","25","1982","6","4","","","","52.45096","-2.05285",
"GROUP GEAR LIMITED","7822851","Active","Private limited company","","","","46510","Unit 1 Antler Buildings Bromsgrove Road Halesowen B63 3HJ","B63 3HJ","46","2011","10","25","","","","52.44871","-2.04494",
"RESOLUTION STUDIOS LIMITED","13551744","Active","Private limited company","","","","74100","74 Dunstall Road Halesowen B63 1BE","B63 1BE","74","2021","8","6","","","","52.448429","-2.0754261",
"JSH TISSUE VIABILITY LTD","11443205","Active","Private limited company","","","","82990","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","82","2018","7","2","","","","52.45096","-2.05285",
"JUST PRESSED 4 TIME LIMITED","4879306","Active","Private limited company","","","","69201","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","69","2003","8","27","","","","52.45096","-2.05285",
"RING COMBAT SPORTS UNION LTD","8115956","Active","Private limited company","","","","93120","Shop 2 130 Hagley Road Hayley Green Halesowen B63 1DY","B63 1DY","93","2012","6","22","","","","52.4371459","-2.0773996",
"KAREN HANDFORD LIMITED","8567481","Active","Private limited company","","","","69201 69202 93199","26 Huntlands Road Halesowen B63 4LY","B63 4LY","69  93","2013","6","13","","","","52.4408668","-2.0674102",
"LINAKER GREEN LIMITED","2149534","Active","Private limited company","","","","65120","Norman House 11 Dudley Road Halesowen B63 3LS","B63 3LS","65","1987","7","22","","","","52.45474","-2.0467833",
"MCCAMLEY UK LIMITED","7547545","Active","Private limited company","","","","28110","Cedar Court 221 Hagley Road Hayley Green Halesowen B63 1ED","B63 1ED","28","2011","3","1","","","","52.4371459","-2.0773996",
"OUR PLAICE IN HALESOWEN LIMITED","10805816","Active","Private limited company","","","","47290","216 Dudley Road Halesowen B63 3NJ","B63 3NJ","47","2017","6","6","","","","52.458998","-2.050016",
"HASBURY MOTORS LIMITED","7285572","Active","Private limited company","","","","45112","70 Stourbridge Road Halesowen B63 3UP","B63 3UP","45","2010","6","15","","","","52.45292388888889","-2.057268666666667",
"AMAZON DEVELOPMENT LIMITED","3042031","Active","Private limited company","","","","41100","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","41","1995","4","4","","","","52.45096","-2.05285",
"1MB CABLING SOLUTIONS LIMITED","6554308","Active","Private limited company","","","","43290","Netherend House Park Lane Halesowen B63 2RA","B63 2RA","43","2008","4","3","","","","52.46016","-2.09639",
"DSSB INDUSTRIES LIMITED","12614391","Active","Private limited company","","","","47890","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","47","2020","5","20","","","","52.45096","-2.05285",
"REN SHIN KAN","10285434","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","85510","7 Peckingham Street Halesowen B63 3AW","B63 3AW","85","2016","7","19","","","","52.448925","-2.049958",
"MATZ HOTEL PRODUCTS LIMITED","7761312","Active","Private limited company","","","","46470","Cradley Enterprise Centre Maypole Fields Cradley Halesowen B63 2QB","B63 2QB","46","2011","9","5","","","","52.467104600000006","-2.0995283999999996",
"INFINITY SECURITY LTD","7693050","Active","Private limited company","","","","80100","Citibase Trinity Point Halesowen Birmingham B63 3HY","B63 3HY","80","2011","7","5","","","","52.4510099","-2.05087",
"CHESTERFIELD ROAD DEVELOPMENTS LTD","12345150","Active","Private limited company","","","","41100","Suite 228 Trinity Point New Road Halesowen B63 3HY","B63 3HY","41","2019","12","3","","","","52.4510099","-2.05087",
"ASTON CROSS 4 HOLDINGS LTD","12549547","Active","Private limited company","","","","41100 68209","Suite 222 Trinity Point New Road Halesowen B63 3HY","B63 3HY","41 68","2020","4","7","","","","52.4510099","-2.05087",
"W.J.L. ENGINEERING LIMITED","1850121","Active","Private limited company","","","","25940","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","25","1984","9","21","","","","52.45096","-2.05285",
"BILBERRY CHASE RESIDENTS MANAGEMENT COMPANY LIMITED","9959549","Active","Private limited by guarantee without share capital","","","","98000","60 Whitehall Road Halesowen B63 3JS","B63 3JS","98","2016","1","19","","","","52.4525284","-2.0464291",
"KEYS STEPPING STONES LIMITED","3749791","Active","Private limited company","","","","87900","Maybrook House Second Floor Queensway Halesowen B63 4AH","B63 4AH","87","1999","4","9","","","","52.4493","-2.05297",
"PLASTIC INNOVATIONS LTD","6880147","Active","Private limited company","","","","22290","Shop 2 130 Hagley Road Hayley Green Halesowen B63 1DY","B63 1DY","22","2009","4","17","","","","52.4371459","-2.0773996",
"AMHE LIMITED","9056074","Active","Private limited company","","","","82990","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","82","2014","5","27","","","","52.45096","-2.05285",
"YOUR CARE SERVICES GROUP LIMITED","10860683","Active","Private limited company","","","","86220","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","86","2017","7","11","","","","52.449773","-2.049054",
"VJL RADIOLOGY LIMITED","13347117","Active","Private limited company","","","","86220","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","86","2021","4","20","","","","52.45096","-2.05285",
"MIDLAND LIQUID STORAGE LTD","7404229","Active","Private limited company","","","","52103","C/O Midland Oil Refinery Ltd Shelah Road Halesowen B63 3PN","B63 3PN","52","2010","10","12","","","","52.46149","-2.05805",
"T NEWMAN LTD","13216694","Active","Private limited company","","","","43910","Unit 10 Saltbrook Trading Estate Saltbrook Road Cradley Heath B63 2QU","B63 2QU","43","2021","2","22","","","","52.4644199","-2.10211",
"BLOORE & KING LTD","6383225","Active","Private limited company","","","","68310","8 Hagley Road Halesowen B63 4RG","B63 4RG","68","2007","9","27","","","","52.4475584","-2.0519574",
"STEVES NEWS LTD","11588701","Active","Private limited company","","","","47110","56-58 Stourbridge Road Halesowen B63 3US","B63 3US","47","2018","9","26","","","","52.45132542857142","-2.053114",
"ECLIPSE FIREWORKS LIMITED","4475002","Active","Private limited company","","","","74990","15 The Hawnelands Halesowen West Midlands B63 3RT","B63 3RT","74","2002","7","2","","","","52.457444","-2.0667769999999996",
"OCCO REDDON LIMITED","12134641","Active","Private limited company","","","","47610 47650 90030 90040","35 Hagley Road Halesowen B63 4PX","B63 4PX","47  90 ","2019","8","1","","","","52.4476282","-2.0509289",
"PINK PETAL LIMITED","10286847","Active","Private limited company","","","","68209","Cedar Court 221 Hagley Road Halesowen B63 1ED","B63 1ED","68","2016","7","19","","","","52.4475584","-2.0519574",
"BANGLA HALESOWEN LIMITED","15319689","Active","Private limited company","","","","56101","67-69 High Street Halesowen B63 3BQ","B63 3BQ","56","2023","11","30","","","","52.450173199999995","-2.050218",
"ELGAR PROPERTIES (MARTLEY) LIMITED","15052123","Active","Private limited company","","","","41100","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","41","2023","8","7","","","","52.45096","-2.05285",
"DANCERS HIREWEAR LIMITED","14020685","Active","Private limited company","","","","47710","Central Buildings Peckingham Street Halesowen B63 3AR","B63 3AR","47","2022","4","2","","","","52.44885","-2.05032",
"HAYNES PROFESSIONALS LTD","14081470","Active","Private limited company","","","","86101","27 Banners Lane Halesowen B63 2AX","B63 2AX","86","2022","5","3","","","","52.4596307","-2.074288",
"JAKE WATSON PLASTERING LTD","14556479","Active","Private limited company","","","","43310","5 Netherend Close Halesowen B63 2PB","B63 2PB","43","2022","12","23","","","","52.46526","-2.09759",
"MS HAIR AND BEAUTY LIMITED","13980622","Active","Private limited company","","","","96020","2 West Road Halesowen B63 2US","B63 2US","96","2022","3","16","","","","52.461142","-2.0907391",
"KSR PROFESSIONAL LIMITED","15369629","Active","Private limited company","","","","69201","2 Brett Young Close Halesowen B63 3BJ","B63 3BJ","69","2023","12","25","","","","52.4459464","-2.0484794",
"CARE THAT CARES LTD","15022716","Active","Private limited company","","","","87200","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","87","2023","7","24","","","","52.45096","-2.05285",
"LI-BONKET LIMITED","14578201","Active","Private limited company","","","","68100","41 Mogul Lane Halesowen B63 2QG","B63 2QG","68","2023","1","9","","","","52.46523","-2.10068",
"TURKISH BAEBER WINDMILL LTD","14513822","Active","Private limited company","","","","96020","18 Windmill Hill Halesowen B63 2DB","B63 2DB","96","2022","11","29","","","","52.457617","-2.082495",
"TAFA DEVELOPMENT LIMITED","15049697","Active","Private limited company","","","","41100","2 Snowdon Grove Halesowen B63 1JP","B63 1JP","41","2023","8","4","","","","52.439049","-2.0819634",
"MUDDY PAWS DOG BOARDING LTD","14090088","Active","Private limited company","","","","1621","Shop 2 130 Hagley Road Hayley Green Halesowen B63 1DY","B63 1DY","1","2022","5","6","","","","52.4371459","-2.0773996",
"P L CLEARANCES LTD","14579371","Active","Private limited company","","","","46190","88 Cobham Road Halesowen B63 3JX","B63 3JX","46","2023","1","9","","","","52.4511207","-2.0473044",
"TRUSTED HANDS CLEANERS LTD","15468470","Active","Private limited company","","","","81210","66 Brett Young Close Halesowen B63 3BJ","B63 3BJ","81","2024","2","5","","","","52.4459464","-2.0484794",
"TOP TIER BUILDS LIMITED","15468797","Active","Private limited company","","","","41202","17 Willetts Drive Halesowen B63 2HR","B63 2HR","41","2024","2","5","","","","52.4528934","-2.0896835",
"AMIRÁ FASHION LTD","14090958","Active","Private limited company","","","","47710","133 Hagley Road Halesowen B63 4QE","B63 4QE","47","2022","5","6","","","","52.4441892","-2.0625933",
"BUILDSURE CONSTRUCTION & RENOVATION LTD","14587516","Active","Private limited company","","","","41100 41202 43310 43390","36 Lutley Avenue Halesowen B63 4HU","B63 4HU","41  43 ","2023","1","12","","","","52.4512492","-2.0747153",
"TPG SUPPLIES LTD","14756393","Active","Private limited company","","","","47910","94 94 Portsdown Road Halesowen B63 1HT","B63 1HT","47","2023","3","25","","","","52.4404339","-2.080472",
"KZ MERCHANTS LTD","14099151","Active","Private limited company","","","","47599 47910 82990","133 Hagley Road Halesowen B63 4QE","B63 4QE","47  82","2022","5","10","","","","52.4441892","-2.0625933",
"INHABIT HOMES AND INTERIORS LTD","15481506","Active","Private limited company","","","","43390","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","43","2024","2","11","","","","52.45096","-2.05285",
"ASCEND COACHING LTD","15344226","Active","Private limited company","","","","99999","7 Abberton Close Halesowen B63 3ES","B63 3ES","99","2023","12","11","","","","52.4486684","-2.0418746",
"HABITORA LIMITED","15483692","Active","Private limited company","","","","68100 68209","47 Waxland Road Halesowen B63 3DN","B63 3DN","68 ","2024","2","12","","","","52.4437933","-2.0515452",
"KIAD INFOTECH LTD","15458198","Active","Private limited company","","","","62012","268 Stourbridge Road Halesowen B63 3QR","B63 3QR","62","2024","1","31","","","","52.4549323","-2.067436",
"IIG HOLDINGS LIMITED","14561762","Active","Private limited company","","","","64209","12 Centre Court Vine Lane Halesowen B63 3EB","B63 3EB","64","2022","12","29","","","","52.44878","-2.04635",
"DEMMAN CARE LTD","14083394","Active","Private limited company","","","","86101","31a Clent View Road Halesowen B63 2JB","B63 2JB","86","2022","5","3","","","","52.4535294","-2.0882396",
"GOBLIN DESIGNS LTD","15412953","Active","Private limited company","","","","74100","7 Blaenwern Drive Halesowen B63 2PX","B63 2PX","74","2024","1","15","","","","52.46642","-2.09584",
"DYLAN HARTLEY LIMITED","14490270","Active","Private limited company","","","","16230","Helen House Great Cornbow Halesowen B63 3AB","B63 3AB","16","2022","11","17","","","","52.4478","-2.04819",
"DMS RECOVERY LTD","14414271","Active","Private limited company","","","","96090","12 Clent View Road Halesowen B63 2JB","B63 2JB","96","2022","10","12","","","","52.4535294","-2.0882396",
"BURBRIDGE LIMITED","15420819","Active","Private limited company","","","","43999","8/9 Earls Way Halesowen B63 3HR","B63 3HR","43","2024","1","17","","","","52.4517245","-2.0510722",
"FRESH AND JUICY LTD","15419382","Active","Private limited company","","","","47210","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","47","2024","1","17","","","","52.45096","-2.05285",
"WEB PENGUIN LTD","15422473","Active","Private limited company","","","","62020 63120","5 Short Street Halesowen B63 3UH","B63 3UH","62 63","2024","1","17","","","","52.453423","-2.0631149",
"LAWNSWOOD HOLDINGS LIMITED","14581600","Active","Private limited company","","","","64209","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","64","2023","1","10","","","","52.45096","-2.05285",
"CASTLE GOLF BAR LIMITED","13873557","Active","Private limited company","","","","56302","Hales Court Stourbridge Road Halesowen B63 3TT","B63 3TT","56","2022","1","26","","","","52.45096","-2.05285",
"NEWSPEAK7 LTD","14021031","Active","Private limited company","","","","74909 99000","85 Toys Lane 85 Toys Lane Halesowen Dudley B63 2LB","B63 2LB","74 99","2022","4","3","","","","52.4561027","-2.087097",
"H. HOLDEN BRICKWORK LTD","15451190","Active","Private limited company","","","","41202","87 Honeybourne Road Halesowen B63 3HD","B63 3HD","41","2024","1","29","","","","52.4471991","-2.0427179",
"GOBLIN MEDICAL LIMITED","14625370","Active","Private limited company","","","","86900","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","86","2023","1","30","","","","52.449773","-2.049054",
"WE MOVE LIMITED","15456493","Active","Private limited company","","","","49410","Hayley Green Farm 113 Hagley Road Hayley Green Halesowen B63 1DZ","B63 1DZ","49","2024","1","31","","","","52.4371459","-2.0773996",
"WALKER AND NOBLE CARPENTRY AND FLOORING LIMITED","13926626","Active","Private limited company","","","","43330","8/9 Earls Way Halesowen B63 3HR","B63 3HR","43","2022","2","18","","","","52.4517245","-2.0510722",
"FJKBGIL LIMITED","15441165","Active","Private limited company","","","","46170 46342 46390","360 Hagley Road Halesowen B63 4JT","B63 4JT","46  ","2024","1","24","","","","52.442856","-2.066371",
"MAÏSHA HEALTHCARE LTD","14616544","Active","Private limited company","","","","82990 87100 87300 87900","Plaza Mall 84 High Street Halesowen B63 3BA","B63 3BA","82 87  ","2023","1","25","","","","52.4491657","-2.0504479",
"CARNECTION LIMITED","15439620","Active","Private limited company","","","","62012","8 Brookside Close Halesowen B63 1BX","B63 1BX","62","2024","1","24","","","","52.4494151","-2.0774619",
"WELBORN UTILITIES & RESURFACING LTD","15334185","Active","Private limited company","","","","43390","4 Shelton Lane Halesowen B63 2XE","B63 2XE","43","2023","12","7","","","","52.4574783","-2.0720872",
"BANCYCAPEL LTD","14065968","Active","Private limited company","","","","56210","56 Wassell Road Halesowen B63 4JX","B63 4JX","56","2022","4","25","","","","52.4430798","-2.0679076",
"EVER SHINE LIMITED","15366820","Active","Private limited company","","","","47750 47910 86900","146b Hagley Road Hayley Green Halesowen B63 1DY","B63 1DY","47  86","2023","12","21","","","","52.4371459","-2.0773996",
"CLEO COSMETIC CLINIC LIMITED","15353286","Active","Private limited company","","","","86220","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","86","2023","12","15","","","","52.449773","-2.049054",
"QUPA LTD","15315649","Active","Private limited company","","","","49320","Cradley Enterprise Centre Office K5b Maypole Fields Halesowen B63 2QB","B63 2QB","49","2023","11","29","","","","52.467104600000006","-2.0995283999999996",
"IMJUSTUNITED LTD","15320238","Active","Private limited company","","","","59112 85510 93199","18 Ashfield Grove Halesowen B63 4LH","B63 4LH","59 85 93","2023","11","30","","","","52.4426808","-2.0707274",
"ENVIROTEAM MIDLANDS LIMITED","13965175","Active","Private limited company","","","","36000","Cutter & Co 3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","36","2022","3","9","","","","52.449229","-2.0492604",
"KEMPTON ROOFING SERVICES LIMITED","14182945","Active","Private limited company","","","","43910","Office K2 - Cradley Enterprise Park Maypole Fields Halesowen B63 2QB","B63 2QB","43","2022","6","20","","","","52.467104600000006","-2.0995283999999996",
"TR ESSENTIALS LTD","14198101","Active","Private limited company","","","","82990","7 Greenways Halesowen B63 2JT","B63 2JT","82","2022","6","27","","","","52.4585224","-2.0872641",
"VOODOO ATTIRE LTD","15425397","Active","Private limited company","","","","47710","Flat 14 Halesbury Court Ombersley Road Halesowen B63 4PE","B63 4PE","47","2024","1","18","","","","52.442479","-2.0623",
"KE STANLEY LTD","13922112","Active","Private limited company","","","","52103","56 Wassell Road Halesowen B63 4JX","B63 4JX","52","2022","2","17","","","","52.4430798","-2.0679076",
"C.E.P SERVICES AND MAINTENANCE LTD","14197645","Active","Private limited company","","","","43210 43320","39 Chadbury Road Halesowen B63 3HB","B63 3HB","43 ","2022","6","27","","","","52.4459341","-2.0406958",
"CONCEPT COSTRUCTION MIDLANDS LIMITED","14781602","Active","Private limited company","","","","41100","8-9 Earls Way Halesowen B63 3HR","B63 3HR","41","2023","4","5","","","","52.4517245","-2.0510722",
"PHILPHOS HEALTHCARE SERVICES LIMITED","14684178","Active","Private limited company","","","","86900 87100 87200 87300","Suite 213 Trinity Point New Road Halesowen B63 3HY","B63 3HY","86 87  ","2023","2","23","","","","52.4510099","-2.05087",
"TAYLOR WILLIAMS ESTATES LTD","14313498","Active","Private limited company","","","","68100 68209","36 Talbot Street Halesowen B63 2TD","B63 2TD","68 ","2022","8","23","","","","52.460109","-2.083298",
"K MOXON PROPERTIES LIMITED","14407655","Active","Private limited company","","","","68209","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","68","2022","10","10","","","","52.449773","-2.049054",
"THE CABLING TEAM LTD","14454095","Active","Private limited company","","","","62090","38 Carol Crescent Halesowen B63 3RR","B63 3RR","62","2022","10","31","","","","52.45727","-2.064805",
"ALASTAIR BROOKES SURGEON LTD","15240637","Active","Private limited company","","","","86210","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","86","2023","10","27","","","","52.45096","-2.05285",
"Q7 TRAINING SUPPORT LTD","15254510","Active","Private limited company","","","","82990","Hales Court Stourbridge Rd Halesowen B63 3TT","B63 3TT","82","2023","11","2","","","","52.45096","-2.05285",
"FORMATIVE STUDIO LTD","15257382","Active","Private limited company","","","","74100","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","74","2023","11","3","","","","52.449773","-2.049054",
"JT FINANCE & CONSULTANCY LIMITED","15281733","Active","Private limited company","","","","69201","17 Century Way Halesowen B63 2TQ","B63 2TQ","69","2023","11","13","","","","52.4627917","-2.0756403",
"MAGIC HEATING LIMITED","15301311","Active","Private limited company","","","","43220","Flat 18 Lyttleton House Blackberry Lane Halesowen B63 4NX","B63 4NX","43","2023","11","21","","","","52.44423","-2.05716",
"LETTA AVENTS LTD","15198802","Active","Private limited company","","","","56210","18 Stourdell Road Halesowen B63 2AN","B63 2AN","56","2023","10","9","","","","52.4599648","-2.0742406",
"FLASH FITNESS LTD","15204902","Active","Private limited company","","","","47990","14 Century Way Halesowen B63 2TQ","B63 2TQ","47","2023","10","11","","","","52.4627917","-2.0756403",
"THE MENTORING AGENCY LIMITED","15225822","Active","Private limited company","","","","85310","Cradley Enterprise Centre Cradley Enterprise Centre Halesowen B63 2QB","B63 2QB","85","2023","10","20","","","","52.46759393333333","-2.099379266666667",
"PAPYRO LIMITED","15226804","Active","Private limited company","","","","47620 68209","45 Belbroughton Road Halesowen B63 4LT","B63 4LT","47 68","2023","10","22","","","","52.4413281","-2.0647564",
"70MAI JORDAN LTD","15219665","Active","Private limited by guarantee without share capital","","","","47421 47429","179 Stourbridge Rd Halesowen B63 3UD","B63 3UD","47 ","2023","10","18","","","","52.45311","-2.06145",
