"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"MATOR FIX LTD","14922330","Active","Private limited company","","","","45112 45310","61 Fountain Lane Oldbury B69 3BH","B69 3BH","45 ","2023","6","8","","","","52.5088157","-2.0162365",
"ISHER GURU LTD","14802065","Active","Private limited company","","","","74909","49 Hill Road Trividale B69 2LN","B69 2LN","74","2023","4","14","","","","52.51332910000001","-2.0559482",
"HABITAT PROCUREMENTS LTD","14834127","Active","Private limited company","","","","71111","43 Princes Road Tividale Oldbury B69 2LR","B69 2LR","71","2023","4","28","","","","52.513759100000016","-2.06025146",
"ASK PELOTON LIMITED","14840096","Active","Private limited company","","","","41100","4 Birchley Estate Birchfield Lane Oldbury B69 1DT","B69 1DT","41","2023","5","2","","","","52.492842","-2.025399",
"PINE BUILDING CONSULTANCY LIMITED","14841806","Active","Private limited company","","","","74909","19 Pine Road Tividale Oldbury B69 1TZ","B69 1TZ","74","2023","5","2","","","","52.5077675","-2.0553107",
"ENVIRONMENTAL EXCELLENCE CLEANING SPECIALISTS LIMITED","14844324","Active","Private limited company","","","","74909","870c Wolverhampton Road Oldbury B69 4RS","B69 4RS","74","2023","5","3","","","","52.487718","-2.017518",
"JTJ ELECTRICAL LTD","14859011","Active","Private limited company","","","","43210","5 Dingle Street Oldbury B69 2DH","B69 2DH","43","2023","5","10","","","","52.5043186","-2.0306993",
"REHOBOTH E COMPANY LTD","15025279","Active","Private limited company","","","","86900","81 Mehdi Road Oldbury Birmingham B69 2GE","B69 2GE","86","2023","7","24","","","","52.50729","-2.03045",
"BARRELS BY RHI LTD","15039951","Active","Private limited company","","","","31090","18 Harlech Close Tividale Oldbury B69 1TE","B69 1TE","31","2023","7","31","","","","52.510404199999996","-2.0580378",
"BGS COURIER LTD","15041105","Active","Private limited company","","","","49410","4 Baldwin Close Tividale Oldbury B69 3JG","B69 3JG","49","2023","8","1","","","","52.515224","-2.0367873",
"CCPBL LTD","15049115","Active","Private limited company","","","","41201","166 Dudley Road East Oldbury B69 3DS","B69 3DS","41","2023","8","4","","","","52.50864615384615","-2.026512076923077",
"MBC PROPERTY HOLDINGS LTD","15050654","Active","Private limited company","","","","68209","209 Titford Road Oldbury B69 4QE","B69 4QE","68","2023","8","4","","","","52.488597909090906","-2.0183183636363635",
"RUTH YIMI BUILD LTD","15050831","Active","Private limited company","","","","41201","2 Crusader Close Oldbury B69 1EF","B69 1EF","41","2023","8","4","","","","52.4921022","-2.029786",
"GOHJI LTD","15055761","Active","Private limited company","","","","14190","58 Temple Way Tividale Oldbury B69 3JN","B69 3JN","14","2023","8","7","","","","52.5136108","-2.037083",
"H'ARTISAN TO GO LIMITED","14949601","Active","Private limited company","","","","56290","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","56","2023","6","21","","","","52.50248471428571","-2.0258485714285714",
"THE KORNER STORE LTD","14969661","Active","Private limited company","","","","47910","4 Campbell Bannerman Way Tividale Oldbury B69 3NE","B69 3NE","47","2023","6","29","","","","52.5149357","-2.0315257",
"SMW SIGN & PRINT LIMITED","14974859","Active","Private limited company","","","","18129","Unit 10 Fountain Business Park Oldbury B69 3BH","B69 3BH","18","2023","7","3","","","","52.50894","-2.0164399",
"SSKK PROPERTIES LIMITED","15010047","Active","Private limited company","","","","68209","6 Inkberrow Close Oldbury B69 1DU","B69 1DU","68","2023","7","18","","","","52.4898189","-2.0306079",
"MIDLANDS REPAIR CENTRE LTD","15122618","Active","Private limited company","","","","45200","51 Mckean Road Oldbury B69 4AU","B69 4AU","45","2023","9","7","","","","52.5075786","-2.0121779",
"ZHENGLOBAL LIMITED","15129291","Active","Private limited company","","","","90030","109 Darbys Hill Road Tividale Oldbury B69 1SF","B69 1SF","90","2023","9","11","","","","52.50229283333333","-2.048166666666667",
"B & H STORAGE SOLUTIONS LTD","15133267","Active","Private limited company","","","","52103","Unit 3a At 1 Hainge Road Tividale Oldbury B69 2NR","B69 2NR","52","2023","9","12","","","","52.5120096","-2.0395365",
"A&K PROPERTY MANAGEMENT LTD","15142897","Active","Private limited company","","","","68209","33 Poplar Avenue Tividale Oldbury B69 1RQ","B69 1RQ","68","2023","9","17","","","","52.5080098","-2.0429696",
"TIVIDALE KITCHEN LTD","14266489","Active","Private limited company","","","","56103","192a Regent Road Oldbury B69 1SB","B69 1SB","56","2022","8","1","","","","52.503836","-2.058955",
"ONE PLUS CARS LIMITED","14268355","Active","Private limited company","","","","45112","3 Gladstone Drive Tividale Oldbury B69 3LF","B69 3LF","45","2022","8","1","","","","52.5141428","-2.0357134",
"THAHLIL LTD","14279604","Active","Private limited company","","","","53202","7 Saladin Avenue Birmingham B69 1EE","B69 1EE","53","2022","8","5","","","","52.4919","-2.02846",
"PRUDENT HOUSING CIC","14328817","Active","Private limited company","Community Interest Company (CIC)","","","55900","Pure Offices Broadwell Road Oldbury B69 4BY","B69 4BY","55","2022","8","31","","","","52.50557305000001","-2.0044869000000003",
"MENDEZ MARKETING SOLUTIONS LTD","14347664","Active","Private limited company","","","","73110","147 147 Regent Road Tividale Oldbury B69 1RY","B69 1RY","73","2022","9","9","","","","52.5068096","-2.0564927",
"EXCELLENCE IN BLACK LIMITED","14354797","Active","Private limited company","","","","47910","69b Wheatsheaf Road Tividale Oldbury B69 1SL","B69 1SL","47","2022","9","13","","","","52.504598","-2.054045",
"CS MOTOR TRADING LIMITED","14368516","Active","Private limited company","","","","45112","1 Tat Bank Road Oldbury B69 4NU","B69 4NU","45","2022","9","21","","","","52.4995026","-2.0103674",
"JORCIS LTD","14608669","Active","Private limited company","","","","70229","Flat 90 Darley House Wallace Close Oldbury B69 1HT","B69 1HT","70","2023","1","21","","","","52.49662","-2.03459",
"GENX SERVICES LTD","14610109","Active","Private limited company","","","","96090","1 Tat Bank Road Birmingham B69 4NU","B69 4NU","96","2023","1","23","","","","52.49957","-2.01009",
"US LOGISTICS LTD","14522138","Active","Private limited company","","","","49410","33 Poplar Avenue Tividale Oldbury B69 1RQ","B69 1RQ","49","2022","12","3","","","","52.5080098","-2.0429696",
"DAVIDSON M LIMITED","14474287","Active","Private limited company","","","","47990","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","47","2022","11","9","","","","52.50248471428571","-2.0258485714285714",
"AESTHETICSCORNER LIMITED","14389832","Active","Private limited company","","","","86220","26 Princes Road Tividale Oldbury B69 2LR","B69 2LR","86","2022","9","30","","","","52.513759100000016","-2.06025146",
"C R STORAGE LIMITED","14117571","Active","Private limited company","","","","52103 81299","6 Palmerston Drive Tividale Oldbury B69 3NA","B69 3NA","52 81","2022","5","19","","","","52.5154415","-2.0335757",
"ICARE PRO LTD","14289057","Active","Private limited company","","","","84120 86900 87200 88100","44 Clay Lane Oldbury B69 4SY","B69 4SY","84 86 87 88","2022","8","10","","","","52.488498","-2.0142687",
"PANNU HOMES LTD","14306610","Active","Private limited company","","","","68100 68209","16 Addington Way Tividale Oldbury B69 3LZ","B69 3LZ","68 ","2022","8","19","","","","52.5172338","-2.034393",
"ACCESS LIVING PROPERTIES LIMITED","14335700","Active","Private limited company","","","","98000","Flat 64 Hackwood House Hartlebury Road Oldbury B69 1EG","B69 1EG","98","2022","9","5","","","","52.49213","-2.03616",
"SIDHU HIGHWAYS LTD","14154119","Active","Private limited company","","","","49410","161 Badsey Road Oldbury B69 1DL","B69 1DL","49","2022","6","7","","","","52.492719","-2.0334",
"SUPPLYSECTION LTD","14159833","Active","Private limited company","","","","82990","33 Alexandra Way Tividale Oldbury B69 2LX","B69 2LX","82","2022","6","8","","","","52.513759100000016","-2.06025146",
"WEBUYCONSOLES.COM LIMITED","14323562","Active","Private limited company","","","","94110","5 Ashleigh Road Tividale Oldbury B69 1LL","B69 1LL","94","2022","8","30","","","","52.5043925","-2.04201",
"DCLOUD NETWORKS LIMITED","15343946","Active","Private limited company","","","","62020","75 Bhullar Way Oldbury B69 2GJ","B69 2GJ","62","2023","12","11","","","","52.50680033333333","-2.034287",
"STERLING LAND AND ESTATES LTD","15330283","Active","Private limited company","","","","68100","63 Dingle Street Oldbury B69 2DZ","B69 2DZ","68","2023","12","5","","","","52.5043186","-2.0306993",
"OLD COPPICE LTD","14749098","Active","Private limited company","","","","68100","Unit 5 Union Road Anglo African Industrial Estate Oldbury B69 3EX","B69 3EX","68","2023","3","22","","","","52.5130699","-2.0238336881979695",
"BULRISE LTD","14395206","Active","Private limited company","","","","45200 46510 46900 52290","37 Poplar Avenue Tividale Oldbury B69 1RQ","B69 1RQ","45 46  52","2022","10","3","","","","52.5080098","-2.0429696",
"XIAOJIALL LTD","15347339","Active","Private limited company","","","","47820 47910","33 Peel Way Tividale Oldbury B69 3JX","B69 3JX","47 ","2023","12","13","","","","52.5136108","-2.037083",
"ZIYHHQWA LTD","15347526","Active","Private limited company","","","","47820 47910","53 Peel Way Tividale Oldbury B69 3JX","B69 3JX","47 ","2023","12","13","","","","52.5136108","-2.037083",
"TEF PROPERTIES LTD","15316891","Active","Private limited company","","","","68209","1 Sandwell Court Oldbury B69 4EA","B69 4EA","68","2023","11","29","","","","52.50177","-1.99972",
"UK HOME FOOD SUPPLY LTD","14460076","Active","Private limited company","","","","56103","21 Ditta Drive Oldbury B69 2GN","B69 2GN","56","2022","11","3","","","","52.50680033333333","-2.034287",
"HIMALIYA INTERNATIONAL UK LIMITED","14721938","Active","Private limited company","","","","82920","Unit 1 Hainge Road Tividale Oldbury B69 2NR","B69 2NR","82","2023","3","10","","","","52.5120096","-2.0395365",
"HR BROTHERS PROPERTY LTD","15161172","Active","Private limited company","","","","68100","4 Martley Road Oldbury B69 1DZ","B69 1DZ","68","2023","9","25","","","","52.49300390909091","-2.0324942727272726",
"QUINTOPPLE LIMITED","14318094","Active","Private limited company","","","","77400","Unit 2 Anglo African Industrial Park Union Road Oldbury B69 3EX","B69 3EX","77","2022","8","25","","","","52.51385","-2.02336",
"GILL SUPERMARKET LTD","14672244","Active","Private limited company","","","","47110","169 Regent Road Tividale Oldbury B69 1RY","B69 1RY","47","2023","2","17","","","","52.5068096","-2.0564927",
"MR SHAM LTD","15512314","Active","Private limited company","","","","56102","85 Brades Road Oldbury Oldbury B69 2EB","B69 2EB","56","2024","2","22","","","","52.504656","-2.027968",
"DIRECT TELECOMMS LIMITED","14618766","Active","Private limited company","","","","61900","32 Imran Way Oldbury B69 3FL","B69 3FL","61","2023","1","26","","","","52.5072704","-2.0183549",
"PRESTIGE WINDOW & SHOP FIT LIMITED","14454992","Active","Private limited company","","","","25120","Unit 10 Fountain Lane Oldbury B69 3BH","B69 3BH","25","2022","11","1","","","","52.5088157","-2.0162365",
"BOYAL CONVENIENCE STORE LTD","14148574","Active","Private limited company","","","","47110","2 Ashtree Road Tividale Oldbury B69 2HD","B69 2HD","47","2022","6","3","","","","52.506486","-2.0364622",
"WGRBS PENSION TRUSTEES LIMITED","15536314","Active","Private limited company","","","","66290","Eriks Uk Seven Stars Road Oldbury B69 4JR","B69 4JR","66","2024","3","2","","","","52.5020458","-2.0108124",
"MECHATRON ENGINEERING LTD","14666585","Active","Private limited company","","","","71129","27 Ashwood Close Oldbury B69 4SD","B69 4SD","71","2023","2","16","","","","52.4865325","-2.0223761",
"DUDLEY ROAD TYRE SERVICES LTD","14671291","Active","Private limited company","","","","45320","141 Dudley Road East Oldbury B69 3DU","B69 3DU","45","2023","2","17","","","","52.50864615384615","-2.026512076923077",
"CRS GROUP LOGISTICS LTD","14258891","Active","Private limited company","","","","49410","39 Roway Lane Oldbury B69 3EQ","B69 3EQ","49","2022","7","27","","","","52.5100942","-2.0283864",
"APEX WORKWEAR LTD","14936754","Active","Private limited company","","","","47910","3 Houghton Street Oldbury B69 2BB","B69 2BB","47","2023","6","14","","","","52.50102288235294","-2.0312098823529414",
"SMITH L LIMITED","15516398","Active","Private limited company","","","","47990","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","47","2024","2","23","","","","52.50248471428571","-2.0258485714285714",
"MATTIK CONSULTANCY SERVICES LTD","14122211","Active","Private limited company","","","","71122","62 Newbury Lane Oldbury B69 1HF","B69 1HF","71","2022","5","21","","","","52.497013","-2.031722",
"RBRH LTD","15498752","Active","Private limited company","","","","47910","7 Brades Rise Oldbury B69 2HG","B69 2HG","47","2024","2","17","","","","52.5061596","-2.0313912",
"CLAD JEMS LIMITED","13887866","Active","Private limited company","","","","43910","83 Darbys Hill Road Tividale Oldbury B69 1SD","B69 1SD","43","2022","2","2","","","","52.50229283333333","-2.048166666666667",
"THE HATHRADI UPWAYS LTD","14099971","Active","Private limited company","","","","47910","35 Birch House Joseph Street Oldbury B69 2AQ","B69 2AQ","47","2022","5","11","","","","52.49557","-2.02298",
"VEHARI FOODS LTD","15488945","Active","Private limited company","","","","56103","3 Lovett Avenue Oldbury B69 1BS","B69 1BS","56","2024","2","14","","","","52.4898516","-2.0325393",
"GOODFATHER COMMERCIAL ASSETS LTD","14886140","Active","Private limited company","","","","68100 68209 68320","23 Ashwood Close Oldbury B69 4SD","B69 4SD","68  ","2023","5","22","","","","52.4865325","-2.0223761",
"EYE SCRUB LIMITED","13858381","Active","Private limited company","","","","86900","52 City Road Tividale Oldbury B69 1QZ","B69 1QZ","86","2022","1","19","","","","52.505296","-2.044773",
"COSY CARPET LIMITED","13896411","Active","Private limited company","","","","43390","161 Mckean Road Oldbury B69 4AG","B69 4AG","43","2022","2","6","","","","52.50571","-2.0124208",
"LEXXY'S BAR & CHILL LTD","13889121","Active","Private limited company","","","","56302","34 Albion Street Oldbury Birmingham West Midlands B69 3EY","B69 3EY","56","2022","2","2","","","","52.5101","-2.0257299",
"MARA BOUTIQUE APARTMENTS LIMITED","14172579","Active","Private limited company","","","","56101","147 Dudley Road East Oldbury B69 3DT","B69 3DT","56","2022","6","14","","","","52.50864615384615","-2.026512076923077",
"G H BUILDERS & CONSTRUCTIONS LIMITED","15508389","Active","Private limited company","","","","41201 41202 43290","394 Birchfield Lane Oldbury B69 1AD","B69 1AD","41  43","2024","2","20","","","","52.489049","-2.026657",
"NANKEE RECRUITMENT LTD","14122058","Active","Private limited company","","","","78109 81222 87900 88990","27 Embassy Road Oldbury B69 2GD","B69 2GD","78 81 87 88","2022","5","20","","","","52.5058304","-2.0298268",
"KEN TUI MANAGEMENT LIMITED","15573793","Active","Private limited company","","","","96040","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","96","2024","3","18","","","","52.50248471428571","-2.0258485714285714",
"TMK (UKM) LIMITED","14552116","Active","Private limited company","","","","49410","94 Walford Street Tividale Oldbury B69 2LD","B69 2LD","49","2022","12","20","","","","52.51324420000001","-2.059694",
"CGB MEDICAL SERVICES LTD","15542081","Active","Private limited company","","","","86220","18 Bristam Close Oldbury B69 2JP","B69 2JP","86","2024","3","5","","","","52.511972400000005","-2.0571804",
"GUR BUILDERS MERCHANTS LIMITED","15045972","Active","Private limited company","","","","47990","Unit 9 Fountain Business Park Fountain Lane Oldbury B69 3BH","B69 3BH","47","2023","8","2","","","","52.50894","-2.0164399",
"ADUR CONCEPTS LTD","14153332","Active","Private limited company","","","","87200","105 City Road Tividale Oldbury B69 1QS","B69 1QS","87","2022","6","6","","","","52.505296","-2.044773",
"AQK TRADING LTD","15546090","Active","Private limited company","","","","46900","212 Birmingham Road Oldbury B69 4EH","B69 4EH","46","2024","3","7","","","","52.502424","-2.00298",
"CHATHA PROPERTY GROUP LIMITED","13941088","Active","Private limited company","","","","68209","Unit 2 Houghton Street Oldbury B69 2BB","B69 2BB","68","2022","2","25","","","","52.495628","-2.0203579",
"GASTRO ELEMENTS LTD","14628807","Active","Private limited company","","","","47110 55100 56210 56302","28 Callaghan Drive Tividale Oldbury B69 3NG","B69 3NG","47 55 56 ","2023","1","31","","","","52.5179829","-2.0400753",
"L&S PRESTIGE PROPERTIES LTD","13927031","Active","Private limited company","","","","68209","14 Ascot Close Oldbury B69 1HB","B69 1HB","68","2022","2","19","","","","52.497013","-2.031722",
"COTRACO LTD","15576085","Active","Private limited company","","","","47910 73110","54 Bhullar Way Oldbury B69 2GL","B69 2GL","47 73","2024","3","19","","","","52.50680033333333","-2.034287",
"KHAREL AND REGMI COMPANY LTD","13911173","Active","Private limited company","","","","56302","173 Tatbank Road Oldbury B69 4NH","B69 4NH","56","2022","2","11","","","","52.4958699","-2.00585",
"GINJAH'S KITCHEN LIMITED","14689470","Active","Private limited company","","","","56210","19 Barncroft Road Tividale Oldbury B69 1TU","B69 1TU","56","2023","2","26","","","","52.5065463","-2.0577057",
"THE WORKX GYM LTD","15554942","Active","Private limited company","","","","47710 85510","870b Wolverhampton Road Oldbury B69 4RS","B69 4RS","47 85","2024","3","11","","","","52.487718","-2.017518",
"INAKA POWER UK LIMITED","14661014","Active","Private limited company","","","","47910","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","47","2023","2","14","","","","52.50248471428571","-2.0258485714285714",
"RIAR EXPRESSWHEELS LTD","15580191","Active","Private limited company","","","","53202","21 Baldwin Close Tividale Oldbury B69 3JG","B69 3JG","53","2024","3","20","","","","52.5152701","-2.0369767",
"MCGROTTY PACKAGING LIMITED","15579264","Active","Private limited company","","","","82920","6 Embassy Road Oldbury B69 2GD","B69 2GD","82","2024","3","20","","","","52.50680033333333","-2.034287",
"DIYOYO LIMITED","14747247","Active","Private limited company","","","","86210","29 Cartwright Gardens Tividale Oldbury B69 3JJ","B69 3JJ","86","2023","3","21","","","","52.5150589","-2.0403782",
"MARY JANE LTD","15580801","Active","Private limited company","","","","90030","58 Temple Way Tividale Oldbury B69 3JN","B69 3JN","90","2024","3","20","","","","52.5136108","-2.037083",
"CONNECT SOCIAL CARE LTD","14140327","Active","Private limited company","","","","88990","14 Oak Crescent Tividale Oldbury B69 1RL","B69 1RL","88","2022","5","30","","","","52.5085816","-2.0462373",
"D & S ASSOCIATES LIMITED","13918190","Active","Private limited company","","","","99999","78 Birmingham Street Oldbury B69 4EB","B69 4EB","99","2022","2","15","","","","52.50269516666666","-2.0096215",
"PALENZI LONDON LTD","15559225","Active","Private limited company","","","","46420 47710","50 Birmingham Street Oldbury B69 4DZ","B69 4DZ","46 47","2024","3","13","","","","52.50300745454545","-2.0133449999999997",
"BISON INDUSTRIES LIMITED","14617732","Active","Private limited company","","","","46170 46730 61900 62020","Unit 24 Fountain Lane Business Park Fountain Lane Oldbury B69 3BH","B69 3BH","46  61 62","2023","1","26","","","","52.50894","-2.0164399",
"STERLING HOME DEVELOPMENTS LTD","14198426","Active","Private limited company","","","","41202","63 Dingle Street Oldbury B69 2DZ","B69 2DZ","41","2022","6","27","","","","52.5043186","-2.0306993",
"STEVENS D LIMITED","14769386","Active","Private limited company","","","","47990","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","47","2023","3","30","","","","52.50248471428571","-2.0258485714285714",
"OUTSIDE THE BOX-CREATIVE THINKING SPACE C.I.C.","15585321","Active","Private limited by guarantee without share capital","Community Interest Company (CIC)","","","90010 90030 90040 96040","59 Tower Road Tividale Oldbury B69 1NA","B69 1NA","90   96","2024","3","22","","","","52.503577","-2.034838",
