"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"SB PASSION CARE LTD","12383060","Active","Private limited company","","","","88990","8 Rowley View West Bromwich B70 8QR","B70 8QR","88","2020","1","2","","","","52.51552453846154","-2.011307",
"AHMED FINANCIAL ACCOUNTANTS LTD","11938693","Active","Private limited company","","","","69201","378 High Street West Bromwich B70 9LB","B70 9LB","69","2019","4","10","","","","52.5235988","-2.0030318",
"LEENA PATEL LEGACY PRODUCTIONS LTD","10170436","Active","Private limited company","","","","90010","9 Offini Close West Bromwich B70 6TA","B70 6TA","90","2016","5","9","","","","52.515376","-1.9760068",
"FREEWAYS LOGISTICS LTD","12555524","Active","Private limited company","","","","49410","149 Spon Lane West Bromwich B70 6AS","B70 6AS","49","2020","4","14","","","","52.51513893617023","-1.9920717021276595",
"J.R.S SLINGER SERVICES LTD","11164797","Active","Private limited company","","","","43999","202 Lyng Lane West Bromwich B70 7RQ","B70 7RQ","43","2018","1","23","","","","52.514983","-1.9966555",
"TRIPLE A CAPITAL LTD","13074317","Active","Private limited company","","","","87300 87900","65-67 Beeches Road West Bromwich B70 6HQ","B70 6HQ","87 ","2020","12","9","","","","52.5141126","-1.9816340000000001",
"ANDREI DAVID LTD","11762789","Active","Private limited company","","","","49410 53202 82990","16 Wattle Road West Bromwich B70 9BL","B70 9BL","49 53 82","2019","1","11","","","","52.5207718","-2.0169123",
"THOMPSONS HIRE AND HAULAGE LIMITED","2079998","Active","Private limited company","","","","49410","240/2 Greets Green Road West Bromwich West Midlands B70 9EP","B70 9EP","49","1986","12","3","","","","52.520442888888894","-2.022599555555556",
"D'S AUTO'S MOBILE MECHANIC LTD","13109428","Active","Private limited company","","","","45200","Unit 52 Queens Court Trading Estate Greets Green Road West Bromwich B70 9EG","B70 9EG","45","2021","1","4","","","","52.5203673","-2.0228161",
"TULIPDAYNURSERY LIMITED","12928395","Active","Private limited company","","","","88910","382 High Street West Bromwich B70 9LB","B70 9LB","88","2020","10","5","","","","52.52347414285714","-2.0029271428571427",
"LINKWAY MEDICAL PROPERTIES LTD","11321618","Active","Private limited company","","","","68100","Lyng Centre For Health And Social Care Frank Fisher Way West Bromwich B70 7AW","B70 7AW","68","2018","4","20","","","","52.516","-1.99798",
"RAMUS PORSCHA LIMITED","4733127","Active","Private limited company","","","","45200","3a Brandon Way West Bromwich B70 8JB","B70 8JB","45","2003","4","14","","","","52.5125043","-2.0094258",
"F.H TRADERS LTD","13680943","Active","Private limited company","","","","47910","168 High Street West Bromwich B70 7QU","B70 7QU","47","2021","10","14","","","","52.518371","-1.993909",
"PARAMOUNT FOSTER CARE LTD","10707917","Active","Private limited company","","","","88990","172 Birmingham Road West Bromwich B70 6QG","B70 6QG","88","2017","4","4","","","","52.51145492307693","-1.9795455384615381",
"EASY FULFILMENT UK LIMITED","13107852","Active","Private limited company","","","","63110","Sma House 172 Birmingham Road West Bromwich B70 6QG","B70 6QG","63","2020","12","31","","","","52.51145492307693","-1.9795455384615381",
"REMARKABLE MEDIA GROUP LIMITED","12404768","Active","Private limited company","","","","73110","2 Lombard Street West West Bromwich B70 8EF","B70 8EF","73","2020","1","15","","","","52.518459","-1.997006",
"TOPPS SOCIAL ENTERPRISE LIMITED","7157626","Active","Private limited by guarantee without share capital","","","","85600","Unit 9 Belper Enterprise Park Greets Green Road West Bromwich B70 9EN","B70 9EN","85","2010","2","15","","","","52.520442888888894","-2.022599555555556",
"ALLIANCE SCAFFOLDING LIMITED","7883515","Active","Private limited company","","","","43991","Units 6-8 Belper Enterprise Park Greets Green Road West Bromwich B70 9EN","B70 9EN","43","2011","12","15","","","","52.520442888888894","-2.022599555555556",
"ARYANA STAR LTD","11249626","Active","Private limited company","","","","49410","5 Wolseley Road West Bromwich B70 0NB","B70 0NB","49","2018","3","12","","","","52.53544841666666","-2.02203475",
"CENTRAL INSPIRED LTD","12358016","Active","Private limited company","","","","74990","Central R P L Ltd Unit 7-10 Trading Estate Kelvin Way West Bromwich B70 7TN","B70 7TN","74","2019","12","10","","","","52.508422","-2.002457",
"HOLTURN LTD","13134135","Active","Private limited company","","","","56103","Fields 2nd Floor Landchard House Victoria Street West Bromwich B70 8ER","B70 8ER","56","2021","1","14","","","","52.518459","-1.997006",
"AFFORDABLE DREAMS LIMITED","11860333","Active","Private limited company","","","","68209","112 Lodge Road West Bromwich B70 8PL","B70 8PL","68","2019","3","5","","","","52.5176924","-2.0013302000000004",
"CREATION SHADE SAILS LIMITED","11698646","Active","Private limited company","","","","32990","Fields 2nd Floor, Landchard House, Victoria Street West Bromwich B70 8ER","B70 8ER","32","2018","11","27","","","","52.518459","-1.997006",
"PARATHA EXPRESS (MIDLAND) LTD","13434789","Active","Private limited company","","","","56103 56290","71 Bromford Lane West Bromwich B70 7HN","B70 7HN","56 ","2021","6","2","","","","52.513474","-2.003907",
"BSB AUTOPARTS LIMITED","10352304","Active","Private limited company","","","","45320","Unit 25 Kelvin Way Trading Estate Kelvin Way West Bromwich B70 7TW","B70 7TW","45","2016","8","31","","","","52.508422","-2.002457",
"GATEWAY CHRISTIAN CENTRE","5637748","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","88990","The Front Building Kelvin Way West Bromwich B70 7JW","B70 7JW","88","2005","11","28","","","","52.510984","-2.003598",
"JSA CARE LTD","13804971","Active","Private limited company","","","","86900","2 Downing Crescent West Bromwich B70 7DG","B70 7DG","86","2021","12","16","","","","52.5153785","-1.9975467",
"ZAUK ESTATES LIMITED","12377945","Active","Private limited company","","","","68100 68209","382 High Street West Bromwich B70 9LB","B70 9LB","68 ","2019","12","27","","","","52.52347414285714","-2.0029271428571427",
"HALL BURMAN & CHARNICK LIMITED","5944200","Active","Private limited company","","","","22290","Unit 12a Izons Industrial Estate Oldbury Road West Bromwich B70 9BS","B70 9BS","22","2006","9","22","","","","52.51188","-2.01639",
"ROK VENTURE LIMITED","13103765","Active","Private limited company","","","","53202","11 Laura Roberts Close West Bromwich B70 0FJ","B70 0FJ","53","2020","12","30","","","","52.536579499999995","-2.0133958333333335",
"INEST LTD","6561508","Active","Private limited company","","","","47910","Inest Ltd 99 Birmingham Road West Bromwich B70 6PX","B70 6PX","47","2008","4","10","","","","52.5126308","-1.9832802",
"P & M EXPORTS IMPORTS LTD","11281894","Active","Private limited company","","","","46900","20 Tame Street West Bromwich B70 0QP","B70 0QP","46","2018","3","28","","","","52.534434","-2.010158",
"ALL UR NEEDS LIMITED","13282423","Active","Private limited company","","","","45200","14 Priory Close West Bromwich B70 6TB","B70 6TB","45","2021","3","22","","","","52.514267454545454","-1.9748674545454543",
"LYNG MANAGEMENT COMPANY LIMITED","7680448","Active","Private limited by guarantee without share capital","","","","98000","3 Frank Fisher Way West Bromwich B70 7AW","B70 7AW","98","2011","6","23","","","","52.51866428571429","-1.995594",
"WISHING WELL MOBILITY LIMITED","8482020","Active","Private limited company","","","","47749","77 Unit 77 Kings Square Sandwell Centre West Bromwich B70 7NW","B70 7NW","47","2013","4","10","","","","52.517458","-1.993292",
"CORRUGATED BOX SUPPLIES LIMITED","3276924","Active","Private limited company","","","","17211","Cbs House Brandon Way West Bromwich B70 8JF","B70 8JF","17","1996","11","12","","","","52.51232","-2.01098",
"HOLLOWAY PLASTICS LIMITED","2108830","Active","Private limited company","","","","22290","2nd Floor Landchard House Victoria Street West Bromwich B70 8ER","B70 8ER","22","1987","3","11","","","","52.518459","-1.997006",
"RE-PC LIMITED","4989664","Active","Private limited by guarantee without share capital","","","","74901","Unit 4 The Great Bridge Centre Charles Street West Bromwich B70 0BF","B70 0BF","74","2003","12","9","","","","52.527671","-2.016816",
"SKILLS WORK AND ENTERPRISE DEVELOPMENT AGENCY LTD","2419631","Active","Private limited by guarantee without share capital","","","","94110","The Business Centre Church Street West Bromwich B70 8RP","B70 8RP","94","1989","9","4","","","","52.52169","-1.9962",
"THIARA REAL ESTATE LTD","13054459","Active","Private limited company","","","","68100 68209","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68 ","2020","12","1","","","","52.51513893617023","-1.9920717021276595",
"PROPERTY MAINTENANCE & CONTRACTORS LTD","12675076","Active","Private limited company","","","","41202","34 Ebenezer Street West Bromwich B70 0PF","B70 0PF","41","2020","6","16","","","","52.535643125","-2.011174",
"PHOENIX SERVICES (MIDLANDS) LTD","11061925","Active","Private limited company","","","","78300","79 Birmingham Road West Bromwich B70 6PX","B70 6PX","78","2017","11","14","","","","52.5126308","-1.9832802",
"FEEDCROWD HOLDING LIMITED","13246828","Active","Private limited company","","","","64209","149 Spon Lane West Bromwich B70 6AS","B70 6AS","64","2021","3","5","","","","52.51513893617023","-1.9920717021276595",
"DEEP COURIER UK LIMITED","10098568","Active","Private limited company","","","","53202","Unit J 215-217 Sams Lane West Bromwich B70 7EX","B70 7EX","53","2016","4","1","","","","52.512921","-1.997442",
"J SARKER LIMITED","13222266","Active","Private limited company","","","","86900 88990","12 Downing Crescent West Bromwich B70 7DG","B70 7DG","86 88","2021","2","24","","","","52.5153785","-1.9975467",
"SUTTON ASSOCIATES (MIDLANDS) LTD","9966702","Active","Private limited company","","","","41201","C/O Fields 2nd Floor Landchard House Victoria Street West Bromwich B70 8ER","B70 8ER","41","2016","1","25","","","","52.518459","-1.997006",
"CHEMSQUAD LIMITED","1285520","Active","Private limited company","","","","81222 81299","23 Izons Industrial Estate Oldbury Road West Bromwich B70 9BS","B70 9BS","81 ","1976","11","8","","","","52.51188","-2.01639",
"BEVIL WILLIAMS ASSOCIATES LTD","9909228","Active","Private limited company","","","","62020","Unit 4 Great Bridge Business Park Charles Street West Bromwich B70 0BF","B70 0BF","62","2015","12","9","","","","52.527671","-2.016816",
"MANDER TRUCKING LIMITED","12331945","Active","Private limited company","","","","49410","40 Bache Street West Bromwich B70 7EW","B70 7EW","49","2019","11","25","","","","52.511221","-1.9927468000000002",
"ARBOR TOWNSCAPE (CONTRACTS) LIMITED","1096817","Active","Private limited company","","","","41100","3 Temple Street West Bromwich West Midlands B70 9AE","B70 9AE","41","1973","2","19","","","","52.5233389","-1.999177",
"CHORLEY DEVELOPMENTS LIMITED","2131705","Active","Private limited company","","","","41100","3 Temple Street West Bromwich West Midlands B70 9AR","B70 9AR","41","1987","5","14","","","","46.7934412","14.8259791",
"JINDER CATERING SERVICES WM LIMITED","13682316","Active","Private limited company","","","","56210","19 Carters Green West Bromwich B70 9QP","B70 9QP","56","2021","10","15","","","","52.524021","-2.003418",
"SEV AUTOWORKS LIMITED","11926903","Active","Private limited company","","","","45200","452 High Street West Bromwich B70 9LD","B70 9LD","45","2019","4","4","","","","52.5235988","-2.0030318",
"BRAVO SOFTWARE LTD","12772537","Active","Private limited company","","","","58290 62012","382 High Street West Bromwich B70 9LB","B70 9LB","58 62","2020","7","28","","","","52.52347414285714","-2.0029271428571427",
"HS INVESTMENT PROPERTIES LTD","12346958","Active","Private limited company","","","","68100","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68","2019","12","3","","","","52.51513893617023","-1.9920717021276595",
"VAGTEC MOTORS LIMITED","11708853","Active","Private limited company","","","","45200","Unit 3 Tunnel Road Garage Tunnel Road West Bromwich B70 0RD","B70 0RD","45","2018","12","3","","","","52.53770628571429","-2.014753571428572",
"BED SHOP HILLTOP LTD","12526409","Active","Private limited company","","","","47599","Unit 2 127-129 Hill Top West Bromwich B70 0RZ","B70 0RZ","47","2020","3","19","","","","52.53862911111111","-2.011341666666667",
"WORKLAYERS LTD.","10008223","Active","Private limited company","","","","46160 47990","2c Bromford Lane West Bromwich B70 7HP","B70 7HP","46 47","2016","2","16","","","","52.513474","-2.003907",
"POWERED BY CAN LTD","8401768","Active","Private limited by guarantee without share capital","","","","78109 85520 85600 93199","6 St Michael's Court West Bromwich Sandwell B70 8ET","B70 8ET","78 85  93","2013","2","13","","","","52.5189292","-1.9965731",
"BATHROOM 4 LESS LTD","13046262","Active","Private limited company","","","","47910","Unit 5 Pennington Close West Bromwich B70 8BG","B70 8BG","47","2020","11","26","","","","52.5145116","-2.0140828",
"V R PUBS LTD","12718850","Active","Private limited company","","","","56102 56302","The Jolly Sailor Oldbury Road West Bromwich B70 9EF","B70 9EF","56 ","2020","7","4","","","","52.520442888888894","-2.022599555555556",
"AYURVEDIC & HOMOEOPATHIC CLINIC LIMITED","4642747","Active","Private limited company","","","","86900","8 High Street West Bromwich West Midlands B70 6JX","B70 6JX","86","2003","1","21","","","","52.515262","-1.988503",
"SHELDON CLAYTON ASSET MANAGEMENT LIMITED","1357668","Active","Private limited company","","","","70100","Cygnus Point Black Country New Road West Bromwich B70 0BD","B70 0BD","70","1978","3","15","","","","52.52931","-2.01965",
"MIBSONS LIMITED","4964669","Active","Private limited company","","","","69201 69202","180 Birmingham Road West Bromwich West Midlands B70 6QG","B70 6QG","69 ","2003","11","14","","","","52.51145492307693","-1.9795455384615381",
"R SAHOTA PROPERTIES LTD","11889206","Active","Private limited company","","","","68100 68209","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68 ","2019","3","18","","","","52.51513893617023","-1.9920717021276595",
"MASON CRAWFORD (HOLDINGS) LIMITED","783520","Active","Private limited company","","","","70100","Unit 8 Swan Lane Industrial Estate Swan Lane West Bromwich B70 0NU","B70 0NU","70","1963","12","5","","","","52.52834299999999","-2.014182153846154",
"POLITICS PUNJAB BROADCASTING LTD","13285763","Active","Private limited company","","","","60200","Unit2 / Plymouth House Guns Lane West Bromwich B70 9HS","B70 9HS","60","2021","3","23","","","","52.5228899","-2.00405",
"LAURAD LIMITED","13071799","Active","Private limited company","","","","52103","Atlas House 15 Bell Street West Bromwich B70 7BT","B70 7BT","52","2020","12","9","","","","52.5135692","-1.9926501",
"CHALFONT HOUSE LIMITED","254574","Active","Private limited company","","","","25930","Bull Lane Works Brandon Way West Bromwich B70 9PQ","B70 9PQ","25","1931","3","4","","","","52.517848","-2.014078",
"BLACK COUNTRY SECURITY SERVICES LTD","12451490","Active","Private limited company","","","","80100","159 Whitehall Road West Bromwich B70 0HQ","B70 0HQ","80","2020","2","10","","","","52.52254544444445","-2.0269967777777778",
"RAMAS CARE GROUP LTD","12340890","Active","Private limited company","","","","82990","Sma House 172 Birmingham Road West Bromwich B70 6QG","B70 6QG","82","2019","11","29","","","","52.51145492307693","-1.9795455384615381",
"T3RECORDS LTD","11880424","Active","Private limited company","","","","18202 59200","119 Kelvin Way West Bromwich B70 7LD","B70 7LD","18 59","2019","3","13","","","","52.518611","-1.993772",
"MMK LEISURE LIMITED","10527382","Active","Private limited company","","","","82990","308/310 - Anchor Ladies Gym 1st Floor High Street West Bromwich B70 8EN","B70 8EN","82","2016","12","15","","","","52.5195318","-1.9957073",
"GREETS GREEN COMMUNITY ENTERPRISES (DEVELOPMENTS) LIMITED","6150141","Active","Private limited company","","","","68209","157 Wood Lane West Bromwich B70 9PT","B70 9PT","68","2007","3","9","","","","52.517848","-2.014078",
"HAWKEYE ELECTRICALS LIMITED","6695346","Active","Private limited company","","","","47190","42 Great Bridge Street West Bromwich B70 0BN","B70 0BN","47","2008","9","11","","","","52.527671","-2.016816",
"HIGH SPEED ENGINEERING LIMITED","4190653","Active","Private limited company","","","","71129","Unit 22 Spartan Industrial Estat Brickhouse Lane West Bromwich B70 0DH","B70 0DH","71","2001","3","30","","","","52.53244","-2.02515",
"PK ENTERTAINMENTS LIMITED","11573502","Active","Private limited company","","","","59111 59120 96090","132 High Street West Bromwich B70 6JJ","B70 6JJ","59  96","2018","9","17","","","","52.515262","-1.988503",
"JSS PHARM LIMITED","11297813","Active","Private limited company","","","","47730","180 Mibsons Limited Birmingham Road West Bromwich B70 6QG","B70 6QG","47","2018","4","7","","","","52.51145492307693","-1.9795455384615381",
"M R BUILDERS (B'HAM) LTD","11321656","Active","Private limited company","","","","41202","1 Thomas Guy Road West Bromwich B70 0NL","B70 0NL","41","2018","4","20","","","","52.53544841666666","-2.02203475",
"ALEXANDER MOR & ASSOCIATES LIMITED","13214189","Active","Private limited company","","","","69201 69203 70221 70229","89 St. Vincent Crescent West Bromwich B70 0LG","B70 0LG","69  70 ","2021","2","19","","","","52.5348768","-2.0189985",
"GORGEOUS HAIR & BEAUTY LIMITED","13241247","Active","Private limited company","","","","96020","86 High Street West Bromwich B70 6JW","B70 6JW","96","2021","3","3","","","","52.515262","-1.988503",
"SDC SCAFFOLD DESIGN CONSULTANTS LTD","12511804","Active","Private limited company","","","","43991","149 Spon Lane West Bromwich B70 6AS","B70 6AS","43","2020","3","11","","","","52.51513893617023","-1.9920717021276595",
"THE CBD GUYS LIMITED","11539122","Active","Private limited company","","","","86900","56 Oldbury Road West Bromwich B70 9DZ","B70 9DZ","86","2018","8","28","","","","52.51842042105263","-2.021546052631579",
"COUPPE LIMITED","11019218","Active","Private limited company","","","","78200","19 High Street West Bromwich B70 6PJ","B70 6PJ","78","2017","10","18","","","","52.51380963636364","-1.9853757272727273",
"SPON LANE DAY NURSERY LIMITED","10191075","Active","Private limited company","","","","85100","93 Spon Lane West Bromwich B70 6AB","B70 6AB","85","2016","5","20","","","","52.51513893617023","-1.9920717021276595",
"MADINATUL ULOOM WEST BROMWICH (MUWB) LIMITED","9998859","Active","Private limited by guarantee without share capital","","","","85520","1 Moor Street West Bromwich B70 7AU","B70 7AU","85","2016","2","10","","","","52.515925217391306","-1.9995549130434782",
"NO1 SKIP HIRE LTD","7271218","Active","Private limited company","","","","38110 38320 39000","Bull Lane Works Brandon Way West Bromwich B70 9PQ","B70 9PQ","38  39","2010","6","2","","","","52.517848","-2.014078",
"KAMAL TRADES UK LTD","12334571","Active","Private limited company","","","","64999","35 High Street West Bromwich B70 6PB","B70 6PB","64","2019","11","26","","","","52.514371000000004","-1.985981",
"GP DISPENSARY LIMITED","9991447","Active","Private limited company","","","","86900","8 St Michaels Court West Bromwich B70 8ET","B70 8ET","86","2016","2","8","","","","52.5184465","-1.9969708750000001",
"PETER PYNE WEST BROMWICH LIMITED","4399135","Active","Private limited company","","","","96020","2 West Bromwich Ringway West Bromwich B70 7PN","B70 7PN","96","2002","3","20","","","","52.5192242","-1.9939170000000002",
"AUGUS LIMITED","9449114","Active","Private limited company","","","","77390","Unit 14 Izons Industrial Estate Unit 14 Izons Industrial Estate Oldbury Road West Bromwich B70 9BS","B70 9BS","77","2015","2","19","","","","52.51188","-2.01639",
"SAMZA CONSULTANCY LIMITED","6136791","Active","Private limited company","","","","62012","44 Edward Street West Bromwich B70 8NU","B70 8NU","62","2007","3","5","","","","52.5185846","-1.997878",
"THE CURIOUS DRAGONS LIMITED","10069546","Active","Private limited company","","","","32409","40 Pleasant Street West Bromwich B70 7DP","B70 7DP","32","2016","3","17","","","","52.513694","-1.9941443",
"A1 CLAIMS AND A1 HIRE LTD","6748522","Active","Private limited company","","","","74100","41 Cordley Street West Bromwich B70 9NG","B70 9NG","74","2008","11","13","","","","52.51792353333334","-2.0098214666666667",
"THE REAL ESTATE AGENTS LTD","5050332","Active","Private limited company","","","","68310","11 Bull Street West Bromwich Ringway West Bromwich B70 6EU","B70 6EU","68","2004","2","20","","","","52.5170071","-1.9896312",
"ISMSWELI CARE LTD","13745369","Active","Private limited company","","","","87900","149 Spon Lane West Bromwich B70 6AS","B70 6AS","87","2021","11","16","","","","52.51513893617023","-1.9920717021276595",
"JURCZAK TRANS LTD","11698685","Active","Private limited company","","","","49410 82990","27 Bailey Street West Bromwich B70 9UE","B70 9UE","49 82","2018","11","27","","","","52.521109","-2.0082963333333335",
"CLOUD ELEVEN DIGITAL LIMITED","11643854","Active","Private limited company","","","","62020","149 Spon Lane West Bromwich B70 6AS","B70 6AS","62","2018","10","26","","","","52.51513893617023","-1.9920717021276595",
"MOTOR RECOVERY & STORAGE CENTRE LTD","12987457","Active","Private limited company","","","","49420","41 Cordley Street West Bromwich B70 9NG","B70 9NG","49","2020","10","30","","","","52.51792353333334","-2.0098214666666667",
"KASAMERA TRADERS UK LTD","11945063","Active","Private limited company","","","","62012 62020 70229 73200","57 Cambridge Street West Bromwich B70 8HG","B70 8HG","62  70 73","2019","4","13","","","","52.5172250909091","-1.9984499393939397",
"KHARI ENTERPRISES LIMITED","13712187","Active","Private limited company","","","","47990","123 Hill Top West Bromwich B70 0RU","B70 0RU","47","2021","10","29","","","","52.53825859999999","-2.0112538",
"EXPRESS WINDOWS UK LTD","11216791","Active","Private limited company","","","","43342","Unit 4 Lyng Lane West Bromwich B70 7RW","B70 7RW","43","2018","2","21","","","","52.514983","-1.9966555",
"ITSWB LTD","10403799","Active","Private limited company","","","","79110","Unit-1 Latfia Fultali Complex Lodge Road West Bromwich B70 8NX","B70 8NX","79","2016","9","30","","","","52.518496000000006","-2.0011023999999997",
"APEX RECOVERY LTD","7839042","Active","Private limited company","","","","52290","106 Beeches Road West Bromwich B70 6HL","B70 6HL","52","2011","11","8","","","","52.515690199999995","-1.9827186",
"AUTO BODY CARE LIMITED","11206392","Active","Private limited company","","","","45200","216 Great Bridge Street West Bromwich B70 0DE","B70 0DE","45","2018","2","14","","","","52.5291138","-2.0290691",
"SH GRILL LTD","11333166","Active","Private limited company","","","","56302","The Smokehouse 27 Reform Street West Bromwich Birminghamm B70 7PE","B70 7PE","56","2018","4","27","","","","52.51920709090909","-1.9880831818181819",
"CHIC TRENDS LTD","13193837","Active","Private limited company","","","","47910","62 The Pavilions West Bromwich B70 6BA","B70 6BA","47","2021","2","10","","","","52.5101502","-1.9844666",
"BODHI MD RESEARCH INTERNATIONAL LIMITED","10126691","Active","Private limited company","","","","82990","41 Hambletts Road West Bromwich B70 9NY","B70 9NY","82","2016","4","15","","","","52.51792353333334","-2.0098214666666667",
"DYNAMIC ENGINEERING UK LIMITED","6546727","Active","Private limited company","","","","33120","58 Morris Street West Bromwich B70 7SP","B70 7SP","33","2008","3","27","","","","52.511522222222226","-1.999811888888889",
"A&A CONTRACTORS MIDLANDS LTD","11753879","Active","Private limited company","","","","42990 43999","Unit-2a Plymouth House Guns Lane West Bromwich B70 9HS","B70 9HS","42 43","2019","1","7","","","","52.5228899","-2.00405",
"LAL & CO DESIGNS LTD","12594986","Active","Private limited company","","","","74100","97 Lyng Lane West Bromwich B70 7EU","B70 7EU","74","2020","5","11","","","","52.512458","-1.9955984",
"KBG SECURITY SOLUTIONS LIMITED","6445197","Active","Private limited company","","","","78200 80100 80200","85a High Street Westbromwich Westmidlands B70 6NZ","B70 6NZ","78 80 ","2007","12","5","","","","52.515356999999995","-1.9878754285714284",
"GREYSTONE GROUP HOLDING LIMITED","11160871","Active","Private limited company","","","","43999","Unit 2 Swan Lane Industrial Estate Swan Lane, West Bromwich West Midlands B70 0NU","B70 0NU","43","2018","1","22","","","","52.52849465","-2.0109056610004874",
"SANDWELL ASIAN DEVELOPMENT ASSOCIATION","5986924","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","93120","75 Springfield Crescent West Bromwich B70 6LW","B70 6LW","93","2006","11","2","","","","52.511415","-1.9854098",
"TECH 2 MOTORS LTD","13407641","Active","Private limited company","","","","45200","149 Spon Lane West Bromwich B70 6AS","B70 6AS","45","2021","5","19","","","","52.51513893617023","-1.9920717021276595",
"SPORTS SECTOR LIMITED","11825042","Active","Private limited company","","","","47721","Unit A3 Pikehelve Street West Bromwich B70 0TU","B70 0TU","47","2019","2","13","","","","52.5379989","-2.0274003",
"SILVERWOOD ESTATE UK. LTD","13142713","Active","Private limited company","","","","68320","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68","2021","1","19","","","","52.51513893617023","-1.9920717021276595",
"BB KITCHEN LIMITED","13398824","Active","Private limited company","","","","47290 56103","149 Spon Lane West Bromwich B70 6AS","B70 6AS","47 56","2021","5","14","","","","52.51513893617023","-1.9920717021276595",
"SME WEB SOLUTIONS LIMITED","10889631","Active","Private limited company","","","","62020","Sma House 172 Birmingham Road West Bromwich B70 6QG","B70 6QG","62","2017","7","28","","","","52.51145492307693","-1.9795455384615381",
"PRO LIFE SCIENCES LIMITED","10894339","Active","Private limited company","","","","74909","1c Devereux Road West Bromwich B70 6RN","B70 6RN","74","2017","8","1","","","","52.509434999999996","-1.9827891999999998",
"PHALANX MARKETING LTD","10915568","Active","Private limited company","","","","96090","38 Cordley Street West Bromwich B70 9NG","B70 9NG","96","2017","8","15","","","","52.51792353333334","-2.0098214666666667",
"PARMAR ESTATES MIDLANDS LTD","11964192","Active","Private limited company","","","","68100 68209 68320","31 Constance Avenue West Bromwich B70 6ED","B70 6ED","68  ","2019","4","25","","","","52.508092777777776","-1.989637111111111",
"THE BURGER LAB LTD","12015193","Active","Private limited company","","","","56103","8 Oxford Road West Bromwich B70 8PE","B70 8PE","56","2019","5","23","","","","52.518418142857136","-2.000551",
"NO 1 CARS LTD","12323465","Active","Private limited company","","","","45112","158 Bull Lane West Bromwich B70 9PA","B70 9PA","45","2019","11","20","","","","52.517848","-2.014078",
"BRIT CONSTRUCTION SERVICES LTD","12366774","Active","Private limited company","","","","41201 42120 42990 43390","19 Poplar Avenue West Bromich B70 6HP","B70 6HP","41 42  43","2019","12","17","","","","52.515116","-1.9816008",
"GP PROPERTIES AND INVESTMENTS LTD","12384658","Active","Private limited company","","","","68100 68209","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68 ","2020","1","3","","","","52.51513893617023","-1.9920717021276595",
"RISHRAN XPRESS LTD","12575068","Active","Private limited company","","","","82990","26 Claypit Lane West Bromwich B70 9UN","B70 9UN","82","2020","4","28","","","","52.524278875","-2.0133388125000002",
"SANA & SHRESTHA LTD","13414590","Active","Private limited company","","","","49320","140 Harvills Hawthorn West Bromwich B70 0UD","B70 0UD","49","2021","5","21","","","","52.5382","-2.022432",
"SHEILORDON GUN-DACHS LIMITED","13493140","Active","Private limited company","","","","96090","125 Anson Road West Bromwich B70 0NH","B70 0NH","96","2021","7","5","","","","52.53544841666666","-2.02203475",
"ALPHA LOGISTIX LTD","13505591","Active","Private limited company","","","","49410","50 Mary Road West Bromwich B70 6LJ","B70 6LJ","49","2021","7","12","","","","52.511785800000006","-1.9873939999999997",
"OTLENSES LTD","13541437","Active","Private limited company","","","","74202","67 Dawes Avenue West Bromwich B70 7LR","B70 7LR","74","2021","7","31","","","","52.518611","-1.993772",
"J & P CONSTRUCTION MIDLAND LTD","13544864","Active","Private limited company","","","","41202","8 Johnston Street West Bromwich B70 7LN","B70 7LN","41","2021","8","3","","","","52.510735999999994","-1.9934036000000002",
"WEST MIDLANDS GAS SERVICES LTD","13339916","Active","Private limited company","","","","82990 95220","16 St. Pauls Crescent West Bromwich B70 0TR","B70 0TR","82 95","2021","4","16","","","","52.5371499","-2.02586",
"THE LANGLEY COMPASS GROUP LTD","13135166","Active","Private limited company","","","","58290 62020 62090","Langley House Brandon Way West Bromwich B70 8JN","B70 8JN","58 62 ","2021","1","14","","","","52.51316","-2.01064",
"SCH UK HOLDINGS LTD","13145571","Active","Private limited company","","","","68100 68209","149 Spon Lane West Bromwich B70 6AS","B70 6AS","68 ","2021","1","20","","","","52.51513893617023","-1.9920717021276595",
"BLONDAIS DRIFT GARAGE LTD","13244030","Active","Private limited company","","","","45200","149 Spon Lane West Bromwich B70 6AS","B70 6AS","45","2021","3","4","","","","52.51513893617023","-1.9920717021276595",
"IMPERIAL HUB LTD","13128597","Active","Private limited company","","","","45112","84 Bromford Lane West Bromwich B70 7HW","B70 7HW","45","2021","1","12","","","","52.513474","-2.003907",
"T3HOUSING LIMITED","13134340","Active","Private limited company","","","","41100 41201 41202","119 Kelvin Way West Bromwich B70 7LD","B70 7LD","41  ","2021","1","14","","","","52.518611","-1.993772",
